구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Audi,0,0,0,1,0,0,0,0,0,0,1,0,2,개인,~19,2016
BMW,0,0,1,0,0,0,1,0,0,1,0,0,3,개인,~19,2016
Chrysler,0,1,0,0,0,0,1,0,0,0,0,1,3,개인,~19,2016
Ford,0,0,0,0,0,0,0,0,0,0,0,1,1,개인,~19,2016
Honda,0,0,0,0,1,0,0,0,0,1,0,0,2,개인,~19,2016
Land Rover,0,2,0,1,1,0,0,1,0,0,0,3,8,개인,~19,2016
MINI,0,0,1,0,0,0,0,0,1,1,0,2,5,개인,~19,2016
Mercedes-Benz,0,0,2,3,0,1,0,1,1,1,0,1,10,개인,~19,2016
Nissan,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,~19,2016
Peugeot,0,0,0,0,0,1,0,0,0,0,1,0,2,개인,~19,2016
Toyota,0,0,0,0,0,0,0,0,1,0,0,0,1,개인,~19,2016
Volkswagen,0,0,0,1,1,0,0,0,0,0,0,0,2,개인,~19,2016
Volvo,0,0,0,0,0,0,0,1,0,0,0,0,1,개인,~19,2016
Audi,72,42,123,111,152,159,42,14,13,12,11,7,758,개인,20~29,2016
BMW,107,171,242,206,290,393,137,198,217,415,430,489,"3,295",개인,20~29,2016
Cadillac,1,3,1,6,4,2,3,1,4,2,5,3,35,개인,20~29,2016
Chrysler,13,12,17,18,18,30,31,29,28,34,37,42,309,개인,20~29,2016
Citroen,0,1,1,0,0,1,0,0,16,11,11,10,51,개인,20~29,2016
Fiat,0,3,1,7,8,3,5,13,4,6,7,10,67,개인,20~29,2016
Ford,38,30,22,30,24,41,28,27,42,32,39,31,384,개인,20~29,2016
Honda,10,8,12,3,27,20,10,19,29,29,33,26,226,개인,20~29,2016
Infiniti,28,21,23,28,22,32,22,31,31,5,10,7,260,개인,20~29,2016
Jaguar,5,4,20,9,7,18,8,9,12,8,11,16,127,개인,20~29,2016
Land Rover,21,14,31,16,19,31,19,19,19,13,25,25,252,개인,20~29,2016
Lexus,6,2,12,10,12,18,10,8,10,17,24,22,151,개인,20~29,2016
MINI,42,58,110,56,87,101,73,85,73,102,80,71,938,개인,20~29,2016
Mercedes-Benz,80,103,185,120,174,162,170,180,214,239,244,300,"2,171",개인,20~29,2016
Nissan,16,17,27,44,25,23,27,35,29,46,50,39,378,개인,20~29,2016
Peugeot,6,38,20,10,14,21,15,17,19,23,21,14,218,개인,20~29,2016
Porsche,2,3,7,6,11,9,10,6,8,5,4,4,75,개인,20~29,2016
Toyota,8,12,14,34,25,35,30,38,35,36,47,48,362,개인,20~29,2016
Volkswagen,147,196,331,63,162,201,47,2,3,0,0,0,"1,152",개인,20~29,2016
Volvo,12,8,9,6,12,16,10,8,9,14,14,10,128,개인,20~29,2016
Audi,412,222,664,720,614,738,261,93,109,72,66,37,"4,008",개인,30~39,2016
BMW,553,721,"1,128",951,"1,279","1,466",508,657,657,"1,496","1,436","1,538","12,390",개인,30~39,2016
Bentley,1,1,1,2,0,3,0,0,0,0,0,0,8,개인,30~39,2016
Cadillac,13,16,14,34,20,19,14,24,14,25,22,17,232,개인,30~39,2016
Chrysler,56,48,87,96,87,115,85,99,116,142,124,144,"1,199",개인,30~39,2016
Citroen,10,19,13,15,12,10,17,14,73,29,27,51,290,개인,30~39,2016
Fiat,6,13,23,19,15,22,17,25,28,35,14,20,237,개인,30~39,2016
Ford,222,181,253,256,186,263,228,232,214,207,220,208,"2,670",개인,30~39,2016
Honda,122,166,161,71,238,221,127,201,214,340,206,173,"2,240",개인,30~39,2016
Infiniti,171,138,116,101,101,102,83,112,98,63,54,67,"1,206",개인,30~39,2016
Jaguar,35,32,63,35,31,73,31,46,39,23,34,59,501,개인,30~39,2016
Lamborghini,0,0,0,1,0,0,0,1,0,0,0,0,2,개인,30~39,2016
Land Rover,150,119,210,116,156,172,133,117,168,109,113,116,"1,679",개인,30~39,2016
Lexus,95,104,145,126,116,245,144,105,242,252,294,347,"2,215",개인,30~39,2016
MINI,181,212,412,205,227,308,230,208,208,316,290,205,"3,002",개인,30~39,2016
Mercedes-Benz,627,717,"1,155",677,623,829,846,"1,003","1,044","1,241","1,171","1,237","11,170",개인,30~39,2016
Nissan,85,149,201,170,115,158,115,180,129,234,215,198,"1,949",개인,30~39,2016
Peugeot,47,143,76,100,97,113,57,66,63,75,85,64,986,개인,30~39,2016
Porsche,33,16,59,35,38,33,45,39,51,25,24,12,410,개인,30~39,2016
Rolls-Royce,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,30~39,2016
Toyota,71,131,191,288,212,374,194,279,247,335,303,345,"2,970",개인,30~39,2016
Volkswagen,550,798,"1,265",275,538,753,133,15,46,5,0,0,"4,378",개인,30~39,2016
Volvo,131,77,166,124,103,197,147,141,106,132,138,151,"1,613",개인,30~39,2016
Audi,320,139,411,428,385,511,205,76,70,88,63,34,"2,730",개인,40~49,2016
BMW,368,425,756,624,822,787,369,421,420,882,802,918,"7,594",개인,40~49,2016
Bentley,0,3,2,1,3,4,0,0,0,0,0,0,13,개인,40~49,2016
Cadillac,10,11,8,18,20,13,13,23,18,18,14,27,193,개인,40~49,2016
Chrysler,61,79,118,123,104,129,82,93,130,117,126,160,"1,322",개인,40~49,2016
Citroen,7,19,14,9,4,9,11,9,53,15,23,36,209,개인,40~49,2016
Fiat,2,9,10,12,6,15,9,11,11,9,12,9,115,개인,40~49,2016
Ford,260,199,284,266,237,309,308,210,255,251,219,227,"3,025",개인,40~49,2016
Honda,112,145,169,52,234,215,127,172,157,280,154,141,"1,958",개인,40~49,2016
Infiniti,79,79,77,57,49,64,36,88,47,49,37,35,697,개인,40~49,2016
Jaguar,22,15,32,34,15,41,27,52,33,36,29,44,380,개인,40~49,2016
