,date,Mercedes-Benz_메르세데스벤츠코리아_x,ASTON MARTIN_기흥애스턴마틴밴티지,ASTON MARTIN_기흥인터내셔널애스턴마틴,Nissan_닛산엑스트레일,Nissan_닛산알티마,Nissan_닛산인피니티Q30,Nissan_닛산인피니티Q50,Nissan_닛산인피니티QX50,Mercedes-Benz_더클래스효성,Mercedes-Benz_더클래스효성벤츠E클래스,Mercedes-Benz_더클래스효성벤츠GLE쿠페,Mercedes-Benz_더클래스효성벤츠S클래스,BMW_도이치모터스,BMW_도이치모터스BMW,Lincoln_링컨컨티넨탈,Lincoln_링컨에비에이터,Mercedes-Benz_메르세데스벤츠,Mercedes-Benz_벤츠E클래스,Mercedes-Benz_벤츠EQ,Mercedes-Benz_벤츠GLA클래스,Mercedes-Benz_벤츠S350DAMG,Mercedes-Benz_벤츠S클래스,Mercedes-Benz_벤츠SUV,Mercedes-Benz_벤츠C클래스,Mercedes-Benz_벤츠C클래스카브리올레,Mercedes-Benz_벤츠C클래스쿠페,Mercedes-Benz_벤츠CLS,Mercedes-Benz_메르세데스벤츠코리아_y,Volvo_볼보*,Volvo_볼보S60*,Volvo_볼보S90,Volvo_볼보크로스컨트리*,Volvo_볼보XC40,Volvo_볼보XC60,Volvo_볼보XC90,Volvo_볼보자동차코리아,비워크,비워크지프,Audi_아우디A3스포트백,Audi_아우디A5,Audi_아우디A6,Audi_아우디A6아반트,Audi_아우디A6아반트&A4,Audi_아우디A7,Audi_아우디A8,Audi_아우디A4,Audi_아우디A4&A5*,Audi_아우디Q,Audi_아우디Q7,Audi_아우디Q8,Audi_아우디코리아,Audi_아우디코리아아우디,Volkswagen_아우디폭스바겐,Volkswagen_아우디폭스바겐티록,Volkswagen_아우디폭스바겐제타,Volkswagen_아우디폭스바겐티구안,Audi_아우디폭스바겐코리아,Jaguar_재규어E-PACE,Jaguar_재규어F-PACE,Jaguar_재규어XE,Jaguar_재규어XF,Jaguar_재규어XJ,Land Rover_재규어랜드로버레인지로버,Land Rover_재규어랜드로버레인지로버벨라,Land Rover_재규어랜드로버레인지로버스포츠,Land Rover_재규어랜드로버레인지로버이보크,Land Rover_재규어랜드로버레인지로버이보크컨버터블,Land Rover_재규어랜드로버디펜더,Land Rover_재규어랜드로버디스커버리,Land Rover_재규어랜드로버디스커버리스포츠,Land Rover_재규어랜드로버코리아,Cadillac_지엠캐딜락XT6,Cadillac_지엠캐딜락CT6,Cadillac_지엠캐딜락XT5,GM_지엠코리아,Cadillac_지엠코리아캐딜락,Cadillac_캐딜락코리아,Cadillac_캐딜락*,Cadillac_캐딜락에스컬레이드플래티넘,Cadillac_캐딜락CT6,Cadillac_캐딜락XT5,Cadillac_캐딜락에스컬레이드,Chrysler_크라이슬러피아트500X,Chrysler_크라이슬러지프,Chrysler_크라이슬러지프레니게이드,Chrysler_크라이슬러지프랭글러,Chrysler_크라이슬러지프컴패스,Ford_포드레인저,Ford_포드몬데오,Ford_포드익스플로러,Ford_포드쿠가,Ford_포드포커스,Ford_포드링컨MKZ,Ford_포드세일즈서비스코리아,Porsche_포르쉐파나메라*,Porsche_포르쉐코리아,Volkswagen_폭스바겐골프,Volkswagen_폭스바겐파사트,Volkswagen_폭스바겐파사트GT,Volkswagen_폭스바겐아테온,Volkswagen_폭스바겐투아렉,Nissan_한국닛산,Lexus_한국토요타렉서스ES300H,Toyota_한국토요타자동차,Lexus_한국토요타렉서스GS450H,Lexus_한국토요타렉서스GSF,Lexus_한국토요타렉서스SUV,Lexus_한국토요타자동차렉서스,Toyota_한국토요타프리우스,Toyota_한국토요타프리우스C,Toyota_한국토요타GR수프라,Citroen_한불모터스시트로엥,한불모터스DS7크로스백,Honda_혼다코리아,BMW_BMW코리아,BMW_BMW3시리즈,BMW_BMW6시리즈그란투리스모,MINI_BMW미니컨버터블,MINI_BMW미니컨트리맨,MINI_BMW미니쿠퍼,MINI_BMW미니클럽맨,MINI_BMW미니JCW클럽맨&컨트리맨,BMW_BMW코리아5시리즈,BMW_BMW코리아7시리즈,BMW_BMWI8,BMW_BMWM5,BMW_BMWX,BMW_BMWX3,BMW_BMWX5,BMW_BMWX6,BMW_BMWX7,BMW_BMWX드라이브,BMW_BMWX레인지,Chrysler_FCA지프,Maserati_FMK마세라티,Maserati_FMK마세라티그란투리스모,Citroen_한불모터스시트로엥C4칵투스,Citroen_한불모터스시트로엥C5에어크로스,Citroen_한불모터스시트로엥그랜드C4스페이스투어러,Citroen_한불모터스시트로엥그랜드C4피카소,Toyota_한국토요타RAV4,Toyota_한국토요타시에나,Toyota_한국토요타아발론,Toyota_한국토요타캠리,Toyota_한국토요타캠리&프리우스,Toyota_한국토요타프리우스프라임,Maserati_FMK마세라티기블리,Maserati_FMK마세라티르반떼,Maserati_FMK마세라티르반떼트로페오,Maserati_FMK마세라티르반떼GTS,Maserati_FMK마세라티SUV,Lexus_한국토요타렉서스RX450HL,Lexus_한국토요타렉서스RX,Lexus_한국토요타렉서스NX,Lexus_한국토요타렉서스LC500H,Lexus_한국토요타렉서스LS,Lexus_한국토요타렉서스LS500,Lexus_한국토요타렉서스LS500H,Lexus_한국토요타렉서스UX,Lexus_한국토요타렉서스UX250H,Chrysler_FCA지프체로키&그랜드체로키,Peugeot_한불모터스푸조2008,Peugeot_한불모터스푸조3008,Peugeot_한불모터스푸조308GT,Peugeot_한불푸조308,Peugeot_한불모터스푸조5008,Peugeot_한불모터스푸조508,Peugeot_한불모터스푸조SUV,Honda_혼다CR-V,Honda_혼다CR-V&파일럿,Honda_혼다ACCORD,Honda_혼다파일럿
0,2016-01-01,1.36207,4.03396,4.03396,0.00193,,0.6449,1.07709,0.07961,2.41965,2.28462,0.38427,1.75345,1.71812,1.71812,0.15826,0.04307,2.41965,2.28462,,0.27175,0.29958,1.75345,0.30224,1.60414,1.60414,0.90301,0.90301,1.36207,0.34872,0.05186,0.06986,0.01779,0.00036,0.11772,0.36061,0.32233,,,0.03397,0.04961,0.15189,1.19114,1.19114,0.89292,0.6122,1.93543,1.93543,0.03266,0.55173,0.01859,1.29728,1.29728,1.22392,,0.28825,0.00216,0.9822,,0.16818,0.60715,0.43921,0.27223,2.42086,,0.76178,1.06306,1.06306,0.08445,1.00474,1.00474,2.42086,0.41888,0.23763,0.41888,0.14519,0.42565,0.42565,0.41888,0.249,0.23763,0.05856,0.00677,0.22892,0.92536,,0.34072,0.00774,0.16673,0.30514,0.44816,0.08445,0.12486,0.46534,0.48349,0.8639,1.89526,0.91302,0.64345,,,,0.33394,0.00629,0.30055,0.03097,0.13406,0.06194,1.03111,0.63401,0.00919,,0.03726,,0.5014,1.71812,0.42081,0.00967,0.02807,0.06073,0.07501,0.04912,0.03049,0.05202,0.00919,0.18125,0.06945,0.53503,0.62118,0.77799,0.84672,0.01718,0.00314,,0.92536,2.54452,0.28094,0.04089,0.00532,,,0.21149,,,0.14954,0.14954,0.14954,0.76468,0.03823,0.03823,0.03823,0.03823,,0.02782,0.04476,,,,,,,,0.43582,0.19649,0.23981,0.23981,0.00846,0.22626,0.22626,0.08421,0.08421,1.15283,0.21609
1,2016-01-02,1.31685,1.46403,1.46403,0.00193,,0.35209,1.16372,0.05396,2.33931,2.44554,0.36298,1.89139,1.8425,1.8425,0.09219,0.05952,2.33931,2.44554,,0.28554,0.3804,1.89139,0.29667,1.74474,1.74474,0.98215,0.98215,1.31685,0.4438,0.06104,0.06772,0.02326,0.00057,0.13976,0.30974,0.41022,,,0.03896,0.06137,0.16789,1.31661,1.31661,0.97619,0.66544,1.7987,1.7987,0.03049,0.64587,0.02247,1.38168,1.38168,1.30341,,0.35061,0.00247,1.0461,,0.15995,0.62118,0.48155,0.31458,2.52153,,0.73589,1.07225,1.07225,0.0905,0.91326,0.91326,2.52153,0.36443,0.1147,0.36588,0.15463,0.37121,0.37121,0.36443,0.23255,0.1147,0.06291,0.01113,0.27078,0.99651,,0.31821,0.00798,0.18415,0.26159,0.43364,0.07961,0.10187,0.50914,0.51785,0.90334,1.89018,0.75694,0.70709,,,,0.37822,0.00822,0.35354,0.03121,0.05565,0.08784,1.18357,0.55004,0.00387,,0.03775,,0.60255,1.8425,0.37532,0.00459,0.02686,0.06461,0.08518,0.05396,0.04089,0.05928,0.01185,0.21803,0.08856,0.60908,0.66643,0.80171,0.97255,0.02129,0.0029,,0.99651,2.37149,0.35015,0.03605,0.00629,,,0.2444,,0.0012,0.16092,0.16092,0.16092,0.86898,0.03605,0.03605,0.03605,0.03605,,0.02202,0.05735,,,,,,,,0.47429,0.22021,0.21803,0.21803,0.00653,0.25505,0.25505,0.10889,0.10889,1.53881,0.18584
2,2016-01-03,1.30568,0.65917,0.65917,0.00338,,0.49559,1.00377,0.07477,2.31946,2.36302,0.43533,1.8396,1.89526,1.89526,0.11809,0.05105,2.31946,2.36302,,0.30321,0.31966,1.8396,0.30781,1.74353,1.74353,0.98147,0.98147,1.30568,0.37801,0.05697,0.06229,0.02003,0.00083,0.12641,0.38831,0.3494,,,0.03774,0.06222,0.15931,1.24935,1.24935,0.92072,0.59346,2.19145,2.19145,0.03363,0.61174,0.02002,1.35879,1.35879,1.29973,,0.30249,0.00077,1.02877,,0.15317,0.61828,0.49704,0.32015,2.39714,,0.65966,1.02506,1.02506,0.07041,0.82929,0.82929,2.39714,0.34798,0.18512,0.34798,0.16648,0.35887,0.35887,0.34798,0.23521,0.18512,0.05686,0.00677,0.52971,0.97279,,0.30224,0.00629,0.16116,0.27175,0.43001,0.29062,0.09631,0.5043,0.51955,0.86003,1.77281,0.89511,0.69499,,,,0.42783,0.00943,0.3804,0.04622,0.01911,0.08251,1.15138,0.51785,0.00629,,0.03339,,0.51858,1.89526,0.40267,0.01016,0.02782,0.06509,0.07646,0.05662,0.03436,0.07066,0.00725,0.17278,0.07743,0.65554,0.65966,0.83752,0.89971,0.01839,0.00169,,0.97279,2.01916,0.31313,0.04525,0.00725,,,0.21779,,0.0012,0.17229,0.17229,0.17229,0.75113,0.03533,0.03533,0.03533,0.03533,,0.02613,0.05275,,,,,,,,0.46437,0.2052,0.23424,0.23424,0.00798,0.22819,0.22819,0.10066,0.10066,1.2143,0.17737
3,2016-01-04,1.37624,0.57061,0.57061,0.00338,,0.64635,1.15646,0.07792,2.44482,2.63212,0.40315,1.62084,2.02254,2.02254,0.12196,0.04646,2.44482,2.63212,,0.28215,0.28191,1.62084,0.30176,1.75031,1.75031,0.98529,0.98529,1.37624,0.38169,0.05509,0.06464,0.01925,0.00067,0.11936,0.35028,0.3528,,,0.04408,0.07295,0.17032,1.33572,1.33572,0.91091,0.63367,2.43998,2.43998,0.04742,0.59698,0.02431,1.43461,1.43461,1.51697,,0.35308,,1.08617,,0.16866,0.6628,0.521,0.33225,2.26671,,0.61513,1.05749,1.05749,0.07792,0.90407,0.90407,2.26671,0.38161,0.19189,0.38161,0.24465,0.39274,0.39274,0.38161,0.20036,0.19189,0.06509,0.00459,0.50237,0.96263,,0.28966,0.01016,0.20859,0.27248,0.46679,0.15826,0.09582,0.49027,0.49874,0.71822,1.70675,1.01635,0.72354,,,,0.41065,0.01306,0.39274,0.04476,0.01718,0.08106,1.20607,0.49099,0.01451,,0.03412,,0.57811,2.02254,0.43195,0.00967,0.02952,0.06799,0.09074,0.08445,0.04984,0.08203,0.00604,0.1614,0.08832,0.68555,0.66208,0.86269,0.85519,0.015,0.00314,,0.96263,1.76918,0.28264,0.05541,0.01137,,,0.27828,,,0.17229,0.17229,0.17229,0.85519,0.05977,0.05977,0.05977,0.05977,,0.03775,0.06485,,,,,,,,1.55913,0.33902,0.27223,0.27223,0.01839,0.29401,0.29401,0.09776,0.09776,1.19349,0.18246
4,2016-01-05,1.36725,0.26159,0.26159,0.0029,,0.46147,1.09379,0.06678,2.42884,2.97235,0.39444,1.56034,1.92986,1.92986,0.19455,0.05251,2.42884,2.97235,,0.27683,0.27296,1.56034,0.27611,1.85751,1.85751,1.04563,1.04563,1.36725,0.37733,0.05159,0.08269,0.01893,0.00031,0.11533,0.31868,0.34877,,,0.0394,0.06877,0.1583,1.2414,1.2414,0.85135,0.6184,2.9271,2.9271,0.03605,0.55197,0.0237,1.40866,1.40866,1.6216,,0.33761,0.00077,1.06652,,0.15922,0.55996,0.46752,0.32523,2.0298,,0.56891,1.04636,1.04636,0.08372,0.7792,0.7792,2.0298,0.38984,0.15342,0.38863,0.24295,0.40291,0.40291,0.38863,0.2006,0.15342,0.06049,0.00725,0.36419,0.83002,,0.3141,0.00992,0.18584,0.25626,0.4196,0.10768,0.08977,0.47405,0.49269,0.58876,1.56978,1.15041,0.62384,,,,0.37387,0.01306,0.35161,0.03073,0.01621,0.083,1.15622,0.76541,0.01742,,0.03533,,0.60739,1.92986,0.38936,0.01209,0.03121,0.06582,0.08639,0.07332,0.03896,0.08832,0.00774,0.16527,0.08397,0.63788,0.59698,0.74,0.82687,0.01863,0.00362,,0.83002,1.72538,0.26594,0.04089,0.01016,,,0.27949,,0.0012,0.14132,0.14132,0.14132,0.73177,0.05686,0.05686,0.05686,0.05686,,0.03194,0.05662,,,,,,,,1.15404,0.29861,0.2173,0.2173,0.01863,0.25529,0.25529,0.20036,0.20036,1.26391,0.17883
5,2016-01-06,1.38019,0.26909,0.26909,0.00266,,0.39976,1.08943,0.06824,2.45183,3.217,0.37096,1.56301,2.03029,2.03029,0.15414,0.05275,2.45183,3.217,,0.25215,0.27611,1.56301,0.2582,1.92405,1.92405,1.08309,1.08309,1.38019,0.35417,0.05196,0.0661,0.01831,,0.10778,0.26831,0.32737,,,0.04022,0.06057,0.15231,1.19449,1.19449,0.87728,0.53674,1.96785,1.96785,0.03533,0.53479,0.02288,1.47651,1.47651,1.64184,,0.29181,,1.11789,,0.16503,0.53286,0.47938,0.35693,2.03489,,0.56794,0.96553,0.96553,0.10042,0.70201,0.70201,2.03489,0.35983,0.13261,0.36153,0.22747,0.37847,0.37847,0.35983,0.21391,0.13261,0.06388,0.00774,0.29837,0.8668,,0.2628,0.00556,0.15075,0.2686,0.44816,0.09606,0.08179,0.4893,0.4847,0.58125,1.65787,1.09403,0.65167,,,,0.36322,0.01161,0.36346,0.03629,0.01887,0.09558,1.26415,0.92004,0.03412,,0.03339,,0.62167,2.03029,0.36201,0.01161,0.02637,0.07525,0.08348,0.0905,0.04428,0.07864,0.00774,0.21125,0.083,0.68434,0.68604,0.86922,0.88108,0.01476,0.00338,,0.8668,1.61068,0.27465,0.04622,0.00435,,,0.28288,,0.0012,0.13624,0.13624,0.13624,0.6432,0.04597,0.04597,0.04597,0.04597,,0.03968,0.06993,,,,,,,,0.77509,0.28336,0.28724,0.28724,0.01572,0.2582,0.2582,0.22698,0.22698,1.2068,0.2127
6,2016-01-07,1.36058,0.23085,0.23085,,,0.98271,1.47492,0.12486,2.41699,2.58348,0.4121,1.38369,2.1145,2.1145,0.11639,0.06243,2.41699,2.58348,,0.25481,0.25384,1.38369,0.2444,1.70699,1.70699,0.9609,0.9609,1.36058,0.37964,0.05274,0.05488,0.01815,0.00062,0.10337,0.34046,0.35091,,,0.03888,0.05606,0.1585,1.24302,1.24302,0.83347,0.53922,1.89792,1.89792,0.03073,0.54157,0.01798,1.45975,1.45975,1.63427,,0.28577,0.00185,1.10521,,0.19988,0.52971,0.44768,0.31313,2.10893,,0.55125,0.99143,0.99143,0.14011,0.69862,0.69862,2.10893,0.34338,0.19818,0.34338,0.23327,0.36177,0.36177,0.34338,0.20448,0.19818,0.06364,0.00653,0.26981,0.93891,,0.28119,0.00653,0.15777,0.26328,0.43025,0.0813,0.0738,0.49849,0.45155,0.83994,1.53929,1.14896,0.62046,,,,0.37847,0.03557,0.3487,0.05977,0.02177,0.08348,1.44298,1.13541,0.03049,,0.03702,,0.54302,2.1145,0.38597,0.00967,0.0271,0.07501,0.08808,0.07864,0.04355,0.0738,0.00701,0.33273,0.07888,0.64949,0.70273,0.85107,0.91326,0.01839,0.00338,,0.93891,1.68037,0.32837,0.07259,0.00919,0.00169,0.00169,0.26788,,0.00362,0.14591,0.14591,0.14591,0.68579,0.07792,0.07792,0.07792,0.07792,,0.04597,0.05686,,,,,,,,0.65385,0.2611,0.22964,0.22964,0.00846,0.25312,0.25312,0.1055,0.1055,1.12694,0.19673
7,2016-01-08,1.2862,0.18705,0.18705,0.0012,,1.47565,1.61552,0.15971,2.28486,2.4528,0.40581,1.43451,1.89623,1.89623,0.15221,0.04597,2.28486,2.4528,,0.2657,0.24586,1.43451,0.25602,1.7232,1.7232,0.97003,0.97003,1.2862,0.38959,0.04544,0.07116,0.02139,,0.12137,0.52568,0.3601,,,0.0347,0.05277,0.14032,1.10042,1.10042,0.78991,0.51887,1.64625,1.64625,0.02758,0.53987,0.01859,1.36411,1.36411,1.39497,,0.26597,0.00108,1.03279,,0.25941,0.49051,0.45953,0.30708,2.12781,,0.56117,0.944,0.944,0.08639,0.73177,0.73177,2.12781,0.37629,0.18754,0.37629,0.2069,0.39323,0.39323,0.37629,0.21682,0.18754,0.098,0.00846,0.25312,1.06427,,0.53455,0.00895,0.15511,0.27393,0.41041,0.06606,0.07646,0.46776,0.49196,0.86462,1.48073,1.09306,0.56407,,,,0.36661,0.01282,0.40799,0.03242,0.0104,0.08106,1.09258,1.08217,0.02395,,0.03968,,0.53431,1.89623,0.41864,0.00967,0.02952,0.07453,0.09631,0.0813,0.03799,0.08445,0.00435,0.2415,0.07792,0.65119,0.67684,0.8201,0.88059,0.01597,0.00387,,1.06427,1.50638,0.25965,0.18947,0.01161,,,0.24924,0.0012,0.00266,0.2173,0.2173,0.2173,0.62384,0.10381,0.10381,0.10381,0.10381,,0.02831,0.03799,,,,,,,,0.59989,0.23013,0.24005,0.24005,0.01113,0.24658,0.24658,0.10018,0.10018,1.12646,0.2265
8,2016-01-09,1.39708,0.63764,0.63764,0.00217,,0.65264,1.34884,0.10671,2.48184,2.5358,0.41477,1.61092,1.95551,1.95551,0.14204,0.03944,2.48184,2.5358,,0.25021,0.43872,1.61092,0.31216,1.87517,1.87517,1.05558,1.05558,1.39708,0.38291,0.04742,0.07314,0.02274,,0.12679,0.63686,0.35393,,,0.03562,0.05098,0.15675,1.22924,1.22924,0.86537,0.53128,1.58987,1.58987,0.02589,0.5498,0.02697,1.30627,1.30627,1.34919,,0.27556,0.00232,0.98901,,0.21174,0.59311,0.51398,0.30877,2.36109,,0.62893,0.97908,0.97908,0.09606,0.79953,0.79953,2.36109,0.39057,0.15559,0.39057,0.15922,0.39855,0.39855,0.39057,0.25408,0.15559,0.09123,0.00629,0.26328,1.01442,,0.35064,0.00653,0.1539,0.24949,0.39299,0.0709,0.06703,0.68604,0.50164,0.67031,1.62592,1.16324,0.65046,,,,0.39226,0.01137,0.40291,0.02807,0.01524,0.09292,1.14194,0.80655,0.01814,,0.04162,,0.55197,1.95551,0.38476,0.00919,0.03121,0.05807,0.08542,0.05686,0.03702,0.06703,0.00459,0.20956,0.08203,0.65143,0.64998,0.98271,0.96941,0.015,0.00362,,1.01442,1.78491,0.29062,0.25166,0.00774,0.00145,0.00145,0.26788,,0.00266,0.20907,0.20907,0.20907,0.6962,0.083,0.083,0.083,0.083,,0.0254,0.05081,,,,,,,,0.56794,0.23932,0.25094,0.25094,0.00871,0.28409,0.28409,0.10187,0.10187,1.19276,0.22747
9,2016-01-10,1.37624,0.41839,0.41839,0.00169,,0.60594,1.33675,0.10574,2.44482,2.87047,0.40581,1.4696,1.8984,1.8984,0.13382,0.05202,2.44482,2.87047,,0.23981,0.32499,1.4696,0.29692,2.04965,2.04965,1.15379,1.15379,1.37624,0.36071,0.0482,0.07763,0.02013,0.00031,0.12666,0.4082,0.33341,,,0.03633,0.05635,0.1752,1.37394,1.37394,0.85184,0.49827,1.79798,1.79798,0.02565,0.60279,0.02697,1.33407,1.33407,1.34204,,0.31363,0.00185,1.01005,,0.22964,0.76783,0.6628,0.44211,2.76594,,0.73274,1.19058,1.19058,0.10962,0.9227,0.9227,2.76594,0.46461,0.22287,0.46461,0.15608,0.47308,0.47308,0.46461,0.67902,0.22287,0.08639,0.00604,0.2778,1.14678,,0.44985,0.00725,0.19286,0.29111,0.40823,0.07743,0.08179,0.54181,0.53165,0.64635,1.58551,1.22083,0.70539,,,,0.36806,0.01282,0.37968,0.02661,0.01234,0.08082,1.09887,0.76275,0.00919,,0.0392,,0.53503,1.8984,0.41525,0.00459,0.03242,0.06509,0.07356,0.05686,0.02976,0.06824,0.00217,0.19238,0.09897,0.63207,0.66426,0.79082,0.86632,0.01693,0.00266,,1.14678,1.67408,0.28869,0.10381,0.00943,,,0.26618,,0.00435,0.1706,0.1706,0.1706,0.68434,0.08227,0.08227,0.08227,0.08227,,0.02444,0.04791,,,,,,,,0.52221,0.2323,0.27659,0.27659,0.01016,0.23932,0.23932,0.07671,0.07671,1.13686,0.17955
