index	keys	values
1	ASTON MARTIN	"애스턴마틴,ASTON MARTIN"
2	ASTON MARTIN	"애스턴마틴,ASTON MARTIN"
3	ASTON MARTIN	"애스턴마틴,ASTON MARTIN"
4	Nissan	"닛산엑스트레일,닛산X-TRAIL,엑스트레일"
5	ALTIMA	"닛산알티마20,알티마20,NissanAltima20,Nissan알티마20"
6	Nissan	"인피니티Q30,Q30"
7	Nissan	"인피니티Q50,인피니티QX50,QX50"
8	QX50	"QX50,인피니티QX50,큐엑스오공,QX오공"
9	더클래스효성	"Mercedes-Benz,메르세데스벤츠,벤츠,Benz"
10	E_CLASS	"벤츠E클래스,벤츠E클래스가격,벤츠E300,벤츠E250,벤츠220D"
11	GEL_COUPE	"벤츠GLE쿠페,벤츠GLE,벤츠GLE300D,벤츠GLE450,벤츠GLE350D쿠페"
12	S_CLASS	"벤츠S클래스,벤츠S500,벤츠S350D,벤츠S클래스리스,벤츠S63AMG,벤츠S450,벤츠S,벤츠S400"
13	BMW	"BMW,비엠더블유"
14	BMW	"BMW,비엠더블유"
15	CONTINENTAL	링컨컨티넨탈
16	AVIATOR	"링컨에비에이터, 에비에이터, AVIATOR"
17	Mercedes-Benz	"Mercedes-Benz,메르세데스벤츠,벤츠,Benz"
18	E_CLASS	"벤츠E클래스,벤츠E클래스가격,벤츠E300,벤츠E250,벤츠220D"
19	E_CLASS	벤츠EQ
20	GLA	"벤츠GLA,벤츠GLA250,벤츠GLA220,벤츠GLA200,벤츠GLA200D"
21	S_CLASS	"벤츠S350,벤츠S350가격,벤츠S350D4MATIC,벤츠S350D,S350D"
22	S_CLASS	"벤츠S클래스,벤츠S500,벤츠S350D,벤츠S클래스리스,벤츠S63AMG,벤츠S450,벤츠S,벤츠S400"
23	GLA	벤츠SUV
24	C_CLASS	"벤츠 C200,C200벤츠,벤츠C클래스"
25	C_CLASS	"벤츠 C200,C200벤츠,벤츠C클래스"
26	C_CLASS	"벤츠 C200,C200벤츠,벤츠C클래스"
27	C_CLASS	"벤츠 C200,C200벤츠,벤츠C클래스"
28	Mercedes-Benz	"Mercedes-Benz,메르세데스벤츠,벤츠,Benz"
29	Volvo	"볼보,vlovo"
30	S60	"S60, 볼보S60, 볼보S60하이브리드, 볼보S60B5, S60B5"
31	S90	"S90, 볼보S90, S90하이브리드, 볼보S90하이브리드, 볼보S90T8, VOLVOS90"
32	V60	"V60, 볼보V60크로스컨트리, V60, V60B5, 볼보V60B5, V60CC"
