Brand,지역,유형,age,year,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,total
Audi,강원,개인,20~29,2018,0,0,0,3,2,1,4,3,0,1,1,0,15
Audi,강원,개인,20~29,2019,2,0,1,0,0,0,0,0,3,1,2,0,9
Audi,강원,개인,20~29,2020,1,0,2,1,0,0,0,1,1,3,4,3,16
Audi,강원,개인,20~29,2021,0,0,3,1,0,0,0,0,0,0,0,0,4
Audi,강원,개인,30~39,2016,1,0,1,0,0,0,0,0,0,0,0,0,2
Audi,강원,개인,30~39,2017,1,0,1,0,0,0,0,0,0,0,0,0,2
Audi,강원,개인,30~39,2018,1,0,0,12,8,5,6,8,1,5,2,3,51
Audi,강원,개인,30~39,2019,6,5,2,0,0,0,0,0,9,8,17,12,59
Audi,강원,개인,30~39,2020,4,4,8,9,9,5,8,10,14,10,16,12,109
Audi,강원,개인,30~39,2021,8,6,17,2,0,0,0,0,0,0,0,0,33
Audi,강원,개인,40~49,2016,1,2,0,0,0,0,0,0,0,0,0,0,3
Audi,강원,개인,40~49,2017,1,2,0,0,0,0,0,0,0,0,0,0,3
Audi,강원,개인,40~49,2018,0,0,0,14,4,6,10,4,1,0,4,3,46
Audi,강원,개인,40~49,2019,2,16,2,0,0,0,0,0,3,11,9,7,50
Audi,강원,개인,40~49,2020,4,3,3,10,8,10,10,6,11,18,16,15,114
Audi,강원,개인,40~49,2021,7,9,16,4,0,0,0,0,0,0,0,0,36
Audi,강원,개인,50~59,2016,2,2,0,0,0,0,0,0,0,0,0,0,4
Audi,강원,개인,50~59,2017,2,2,0,0,0,0,0,0,0,0,0,0,4
Audi,강원,개인,50~59,2018,0,0,0,7,2,3,5,6,0,0,0,1,24
Audi,강원,개인,50~59,2019,3,7,4,0,0,0,0,0,4,6,6,6,36
Audi,강원,개인,50~59,2020,3,4,3,5,4,5,2,2,5,4,6,5,48
Audi,강원,개인,50~59,2021,2,10,5,3,0,0,0,0,0,0,0,0,20
Audi,강원,개인,60~69,2018,0,0,0,3,0,3,1,1,0,0,0,0,8
Audi,강원,개인,60~69,2019,0,2,1,0,0,0,0,0,4,8,3,2,20
Audi,강원,개인,60~69,2020,2,0,2,2,2,5,2,2,2,2,4,6,31
Audi,강원,개인,60~69,2021,1,2,3,3,0,0,0,0,0,0,0,0,9
Audi,강원,개인,70~,2018,0,0,0,0,1,0,0,0,0,0,0,0,1
Audi,강원,개인,70~,2019,0,0,0,0,0,0,0,0,2,1,1,1,5
Audi,강원,개인,70~,2020,0,0,1,0,1,1,0,0,0,0,0,2,5
Audi,강원,개인,70~,2021,0,1,1,0,0,0,0,0,0,0,0,0,2
Audi,강원,개인-남자,20~29,2018,0,0,0,2,1,0,2,1,0,1,0,0,7
Audi,강원,개인-남자,20~29,2019,1,0,1,0,0,0,0,0,0,1,2,0,5
Audi,강원,개인-남자,20~29,2020,0,0,2,1,0,0,0,1,1,3,2,3,13
Audi,강원,개인-남자,20~29,2021,0,0,2,1,0,0,0,0,0,0,0,0,3
Audi,강원,개인-남자,30~39,2016,1,0,1,0,0,0,0,0,0,0,0,0,2
