period,ratio,title,sub_title
2016-01-01,10.0,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-02,3.6292625608583124,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-03,1.6340518993743118,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-04,1.4145157611875177,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-05,0.6484694939959741,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-06,0.6670616466201944,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-07,0.5722664577735028,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-08,0.4636882864480559,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-09,1.5806800265743832,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-10,1.0371694315263411,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-11,0.7222431556088805,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-12,1.2321391387123322,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-13,0.7678311138434689,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-14,1.0257910341203182,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-15,0.6208539499647988,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-16,0.632257136907654,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-17,0.6406607898938015,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-18,0.5632678559033802,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-19,0.7540481313647135,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-20,0.7294321212902457,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-21,0.5896687126297732,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-22,0.5596733730626976,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-23,0.5590784241787226,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-24,0.5296780334956219,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-25,0.5266784995389145,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-26,0.8596267687334529,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-27,0.5320826185683546,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-28,0.533892254757112,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-29,0.5350821525250621,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-30,0.533892254757112,ASTONMARTIN,기흥애스턴마틴밴티지
2016-01-31,0.6082608652539935,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-01,0.4636882864480559,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-02,0.4505002528532756,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-03,0.44869061666451815,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-04,0.4510952017372506,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-05,0.4439062360558855,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-06,0.4600938036073733,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-07,0.5170849487848168,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-08,0.5650774920921376,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-09,0.4559043718827157,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-10,0.5746710428462354,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-11,0.5308927208004045,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-12,0.8950014377931362,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-13,0.7438348421898084,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-14,0.6064760186020683,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-15,0.5566738391059901,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-16,0.5626729070194051,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-17,0.4433112871719104,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-18,0.4834951263770586,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-19,0.473901575622961,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-20,0.4924937282471814,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-21,0.5506747711925749,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-22,0.4948983133199139,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-23,0.4990877450445715,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-24,0.4630933375640809,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-25,0.4330979979970054,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-26,0.4564993207666908,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-27,0.5380816864817697,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-28,0.8908120060684784,ASTONMARTIN,기흥애스턴마틴밴티지
2016-02-29,0.692247816041805,ASTONMARTIN,기흥애스턴마틴밴티지
2016-03-01,0.6670616466201944,ASTONMARTIN,기흥애스턴마틴밴티지
