period,ratio,title,sub_title
2016-01-01,0.35991928526807404,GM,지엠코리아
2016-01-02,0.38332060803775936,GM,지엠코리아
2016-01-03,0.4126962091840275,GM,지엠코리아
2016-01-04,0.6064760186020683,GM,지엠코리아
2016-01-05,0.6022617973405784,GM,지엠코리아
2016-01-06,0.5638875943241876,GM,지엠코리아
2016-01-07,0.578265525686918,GM,지엠코리아
2016-01-08,0.5128955170601591,GM,지엠코리아
2016-01-09,0.3946990054437822,GM,지엠코리아
2016-01-10,0.38691509087844195,GM,지엠코리아
2016-01-11,0.578860474570893,GM,지엠코리아
2016-01-12,0.5902636615137482,GM,지엠코리아
2016-01-13,0.6262580689942389,GM,지엠코리아
2016-01-14,0.5842645936003331,GM,지엠코리아
2016-01-15,0.5494848734246248,GM,지엠코리아
2016-01-16,0.469687354361471,GM,지엠코리아
2016-01-17,0.40850677745936986,GM,지엠코리아
2016-01-18,0.6094755525587758,GM,지엠코리아
2016-01-19,0.5794802129917004,GM,지엠코리아
2016-01-20,0.5458903905839422,GM,지엠코리아
2016-01-21,0.5428908566272347,GM,지엠코리아
2016-01-22,0.5662673898600877,GM,지엠코리아
2016-01-23,0.40610219238663736,GM,지엠코리아
2016-01-24,0.41510079425676,GM,지엠코리아
2016-01-25,0.5254886017709645,GM,지엠코리아
2016-01-26,0.5776705768029429,GM,지엠코리아
2016-01-27,0.5446757032791598,GM,지엠코리아
2016-01-28,0.5482701861198425,GM,지엠코리아
2016-01-29,0.5482701861198425,GM,지엠코리아
2016-01-30,0.3971035905165147,GM,지엠코리아
2016-01-31,0.40010312447322227,GM,지엠코리아
2016-02-01,0.523678965582207,GM,지엠코리아
2016-02-02,0.5434858055112097,GM,지엠코리아
2016-02-03,0.5476752372358674,GM,지엠코리아
2016-02-04,0.5368917887138196,GM,지엠코리아
2016-02-05,0.5044918640740116,GM,지엠코리아
2016-02-06,0.3707027337901218,GM,지엠코리아
2016-02-07,0.36532340429751403,GM,지엠코리아
2016-02-08,0.3425170304118037,GM,지엠코리아
2016-02-09,0.37732154012434427,GM,지엠코리아
2016-02-10,0.42409939612688274,GM,지엠코리아
2016-02-11,0.534487203641087,GM,지엠코리아
2016-02-12,0.5764806790349928,GM,지엠코리아
2016-02-13,0.46609287152078843,GM,지엠코리아
2016-02-14,0.4055072435026623,GM,지엠코리아
2016-02-15,0.5542692540332576,GM,지엠코리아
2016-02-16,0.5872641275570406,GM,지엠코리아
2016-02-17,0.5368917887138196,GM,지엠코리아
2016-02-18,0.583074695832383,GM,지엠코리아
2016-02-19,0.5206794316254995,GM,지엠코리아
2016-02-20,0.37610685281956185,GM,지엠코리아
2016-02-21,0.40850677745936986,GM,지엠코리아
2016-02-22,0.528488135727672,GM,지엠코리아
2016-02-23,0.5644825432081626,GM,지엠코리아
2016-02-24,0.5638875943241876,GM,지엠코리아
2016-02-25,0.5260835506549395,GM,지엠코리아
2016-02-26,0.4948983133199139,GM,지엠코리아
2016-02-27,0.40010312447322227,GM,지엠코리아
2016-02-28,0.3929141587918571,GM,지엠코리아
2016-02-29,0.5320826185683546,GM,지엠코리아
2016-03-01,0.43490763418576284,GM,지엠코리아
2016-03-02,0.5572687879899652,GM,지엠코리아
2016-03-03,0.5326775674523296,GM,지엠코리아
2016-03-04,0.4720919394342035,GM,지엠코리아
2016-03-05,0.40491229461868733,GM,지엠코리아
2016-03-06,0.4379071681424704,GM,지엠코리아
2016-03-07,0.5578885264107725,GM,지엠코리아
2016-03-08,0.5764806790349928,GM,지엠코리아
2016-03-09,0.5146803637120844,GM,지엠코리아
2016-03-10,0.5392715842497198,GM,지엠코리아
2016-03-11,0.5092762446826443,GM,지엠코리아
2016-03-12,0.4229094983589326,GM,지엠코리아
2016-03-13,0.43669248083768797,GM,지엠코리아
2016-03-14,0.605856280181261,GM,지엠코리아
2016-03-15,0.56088806036748,GM,지엠코리아
2016-03-16,0.5770756279189678,GM,지엠코리아
2016-03-17,0.6220686372695812,GM,지엠코리아
