period,ratio,title,sub_title
2016-01-01,6.001199813582682,LandRover,재규어랜드로버레인지로버
2016-01-02,6.2507560808733835,LandRover,재규어랜드로버레인지로버
2016-01-03,5.942399032216481,LandRover,재규어랜드로버레인지로버
2016-01-04,5.619069103312873,LandRover,재규어랜드로버레인지로버
2016-01-05,5.031780186219,LandRover,재규어랜드로버레인지로버
2016-01-06,5.044398060466637,LandRover,재규어랜드로버레인지로버
2016-01-07,5.227939791172941,LandRover,재규어랜드로버레인지로버
2016-01-08,5.274742436712312,LandRover,재규어랜드로버레인지로버
2016-01-09,5.853032751936062,LandRover,재규어랜드로버레인지로버
2016-01-10,6.856637150591477,LandRover,재규어랜드로버레인지로버
2016-01-11,5.771450386220983,LandRover,재규어랜드로버레인지로버
2016-01-12,5.77444992017769,LandRover,재규어랜드로버레인지로버
2016-01-13,5.6148796715882145,LandRover,재규어랜드로버레인지로버
2016-01-14,5.367727989370246,LandRover,재규어랜드로버레인지로버
2016-01-15,5.047372804886513,LandRover,재규어랜드로버레인지로버
2016-01-16,5.958611389304801,LandRover,재규어랜드로버레인지로버
2016-01-17,6.059380856528075,LandRover,재규어랜드로버레인지로버
2016-01-18,5.850033217979354,LandRover,재규어랜드로버레인지로버
2016-01-19,6.035384584874415,LandRover,재규어랜드로버레인지로버
2016-01-20,5.587288917093873,LandRover,재규어랜드로버레인지로버
2016-01-21,5.326329462860316,LandRover,재규어랜드로버레인지로버
2016-01-22,5.587883865977847,LandRover,재규어랜드로버레인지로버
2016-01-23,5.9160229650269205,LandRover,재규어랜드로버레인지로버
2016-01-24,5.599287052920702,LandRover,재규어랜드로버레인지로버
2016-01-25,5.832630963123084,LandRover,재규어랜드로버레인지로버
2016-01-26,6.5236888813969385,LandRover,재규어랜드로버레인지로버
2016-01-27,5.799636089599301,LandRover,재규어랜드로버레인지로버
2016-01-28,5.8878124721117695,LandRover,재규어랜드로버레인지로버
2016-01-29,5.533892254757111,LandRover,재규어랜드로버레인지로버
2016-01-30,6.313126555543435,LandRover,재규어랜드로버레인지로버
2016-01-31,6.299938521948655,LandRover,재규어랜드로버레인지로버
2016-02-01,5.832036014239109,LandRover,재규어랜드로버레인지로버
2016-02-02,5.564482543208161,LandRover,재규어랜드로버레인지로버
2016-02-03,5.733646342551735,LandRover,재규어랜드로버레인지로버
2016-02-04,5.623258535037531,LandRover,재규어랜드로버레인지로버
2016-02-05,6.442106515681861,LandRover,재규어랜드로버레인지로버
2016-02-06,6.549494789239358,LandRover,재규어랜드로버레인지로버
2016-02-07,6.376711717518269,LandRover,재규어랜드로버레인지로버
2016-02-08,9.584874416206405,LandRover,재규어랜드로버레인지로버
2016-02-09,8.712059613878173,LandRover,재규어랜드로버레인지로버
2016-02-10,7.754043173457346,LandRover,재규어랜드로버레인지로버
2016-02-11,7.26754851312358,LandRover,재규어랜드로버레인지로버
2016-02-12,6.658667909448779,LandRover,재규어랜드로버레인지로버
2016-02-13,6.698851748653928,LandRover,재규어랜드로버레인지로버
2016-02-14,6.375521819750319,LandRover,재규어랜드로버레인지로버
2016-02-15,6.298748624180705,LandRover,재규어랜드로버레인지로버
2016-02-16,7.412121091929517,LandRover,재규어랜드로버레인지로버
2016-02-17,6.547090204166625,LandRover,재규어랜드로버레인지로버
2016-02-18,6.115777052821545,LandRover,재규어랜드로버레인지로버
2016-02-19,6.385115370504416,LandRover,재규어랜드로버레인지로버
2016-02-20,6.981402889468412,LandRover,재규어랜드로버레인지로버
2016-02-21,6.901605370405258,LandRover,재규어랜드로버레인지로버
2016-02-22,6.341337048458585,LandRover,재규어랜드로버레인지로버
2016-02-23,6.967000168568849,LandRover,재규어랜드로버레인지로버
2016-02-24,6.347336116372001,LandRover,재규어랜드로버레인지로버
2016-02-25,6.001794762466657,LandRover,재규어랜드로버레인지로버
2016-02-26,5.9538022191593365,LandRover,재규어랜드로버레인지로버
2016-02-27,7.176372596654403,LandRover,재규어랜드로버레인지로버
2016-02-28,6.511690745570109,LandRover,재규어랜드로버레인지로버
2016-02-29,5.625068171226288,LandRover,재규어랜드로버레인지로버
2016-03-01,7.02158672867356,LandRover,재규어랜드로버레인지로버
2016-03-02,5.420504913286199,LandRover,재규어랜드로버레인지로버
2016-03-03,5.626877807415045,LandRover,재규어랜드로버레인지로버
2016-03-04,7.794846751083302,LandRover,재규어랜드로버레인지로버
2016-03-05,8.824232268044302,LandRover,재규어랜드로버레인지로버
2016-03-06,7.516485041993474,LandRover,재규어랜드로버레인지로버
2016-03-07,7.187750994060425,LandRover,재규어랜드로버레인지로버
2016-03-08,8.943023728544654,LandRover,재규어랜드로버레인지로버
2016-03-09,6.161959959940107,LandRover,재규어랜드로버레인지로버
2016-03-10,5.493088677131156,LandRover,재규어랜드로버레인지로버
2016-03-11,5.484709813681841,LandRover,재규어랜드로버레인지로버
2016-03-12,6.84282937857589,LandRover,재규어랜드로버레인지로버
2016-03-13,6.545280567977867,LandRover,재규어랜드로버레인지로버
