period,ratio,title,sub_title
2016-01-01,0.06958422988824876,MINI,BMW미니컨버터블
2016-01-02,0.0665846959315412,MINI,BMW미니컨버터블
2016-01-03,0.06896449146744141,MINI,BMW미니컨버터블
2016-01-04,0.07317871272893137,MINI,BMW미니컨버터블
2016-01-05,0.07736814445358903,MINI,BMW미니컨버터블
2016-01-06,0.0653700086267588,MINI,BMW미니컨버터블
2016-01-07,0.06717964481551625,MINI,BMW미니컨버터블
2016-01-08,0.07317871272893137,MINI,BMW미니컨버터블
2016-01-09,0.07736814445358903,MINI,BMW미니컨버터블
2016-01-10,0.08036767841029656,MINI,BMW미니컨버터블
2016-01-11,0.07436861049688147,MINI,BMW미니컨버터블
2016-01-12,0.08158236571507897,MINI,BMW미니컨버터블
2016-01-13,0.0569663556406112,MINI,BMW미니컨버터블
2016-01-14,0.06896449146744141,MINI,BMW미니컨버터블
2016-01-15,0.0581810429453936,MINI,BMW미니컨버터블
2016-01-16,0.06177552578607621,MINI,BMW미니컨버터블
2016-01-17,0.06896449146744141,MINI,BMW미니컨버터블
2016-01-18,0.07736814445358903,MINI,BMW미니컨버터블
2016-01-19,0.05877599182936865,MINI,BMW미니컨버터블
2016-01-20,0.06358516197483365,MINI,BMW미니컨버터블
2016-01-21,0.052181975031978495,MINI,BMW미니컨버터블
2016-01-22,0.08217731459905402,MINI,BMW미니컨버터블
2016-01-23,0.07796309333756407,MINI,BMW미니컨버터블
2016-01-24,0.0665846959315412,MINI,BMW미니컨버터블
2016-01-25,0.07317871272893137,MINI,BMW미니컨버터블
2016-01-26,0.08036767841029656,MINI,BMW미니컨버터블
2016-01-27,0.08277226348302907,MINI,BMW미니컨버터블
2016-01-28,0.07858283175837141,MINI,BMW미니컨버터블
2016-01-29,0.07377366161290641,MINI,BMW미니컨버터블
2016-01-30,0.07258376384495631,MINI,BMW미니컨버터블
2016-01-31,0.07736814445358903,MINI,BMW미니컨버터블
2016-02-01,0.08577179743973662,MINI,BMW미니컨버터블
2016-02-02,0.11695703477476226,MINI,BMW미니컨버터블
2016-02-03,0.10076946722327439,MINI,BMW미니컨버터블
2016-02-04,0.10857817132544693,MINI,BMW미니컨버터블
2016-02-05,0.10257910341203183,MINI,BMW미니컨버터블
2016-02-06,0.09417545042588424,MINI,BMW미니컨버터블
2016-02-07,0.08277226348302907,MINI,BMW미니컨버터블
2016-02-08,0.11336255193407964,MINI,BMW미니컨버터블
2016-02-09,0.14216799373320507,MINI,BMW미니컨버터블
2016-02-10,0.11217265416612954,MINI,BMW미니컨버터블
2016-02-11,0.12655058552885995,MINI,BMW미니컨버터블
2016-02-12,0.10376900117998195,MINI,BMW미니컨버터블
2016-02-13,0.1247657388769348,MINI,BMW미니컨버터블
2016-02-14,0.10617358625271443,MINI,BMW미니컨버터블
2016-02-15,0.10736348402066455,MINI,BMW미니컨버터블
2016-02-16,0.09177086535315172,MINI,BMW미니컨버터블
2016-02-17,0.12055151761544486,MINI,BMW미니컨버터블
2016-02-18,0.16975874822754808,MINI,BMW미니컨버터블
2016-02-19,0.12417078999295976,MINI,BMW미니컨버터블
2016-02-20,0.11095796686134715,MINI,BMW미니컨버터블
2016-02-21,0.12955011948556752,MINI,BMW미니컨버터블
2016-02-22,0.09236581423712678,MINI,BMW미니컨버터블
2016-02-23,0.09776993326656684,MINI,BMW미니컨버터블
2016-02-24,0.09717498438259178,MINI,BMW미니컨버터블
2016-02-25,0.1379537724717151,MINI,BMW미니컨버터블
2016-02-26,0.1343592896310325,MINI,BMW미니컨버터블
2016-02-27,0.13854872135569019,MINI,BMW미니컨버터블
2016-02-28,0.12536068776090983,MINI,BMW미니컨버터블
2016-02-29,0.13135975567432498,MINI,BMW미니컨버터블
2016-03-01,0.1343592896310325,MINI,BMW미니컨버터블
2016-03-02,0.12055151761544486,MINI,BMW미니컨버터블
2016-03-03,0.10917312020942199,MINI,BMW미니컨버터블
2016-03-04,0.1343592896310325,MINI,BMW미니컨버터블
2016-03-05,0.15354639113922794,MINI,BMW미니컨버터블
2016-03-06,0.13854872135569019,MINI,BMW미니컨버터블
2016-03-07,0.10736348402066455,MINI,BMW미니컨버터블
2016-03-08,0.13616892581978995,MINI,BMW미니컨버터블
2016-03-09,0.10857817132544693,MINI,BMW미니컨버터블
2016-03-10,0.10617358625271443,MINI,BMW미니컨버터블
2016-03-11,0.11457723923886204,MINI,BMW미니컨버터블
2016-03-12,0.10136441610724944,MINI,BMW미니컨버터블
2016-03-13,0.09296076312110182,MINI,BMW미니컨버터블
2016-03-14,0.10076946722327439,MINI,BMW미니컨버터블
2016-03-15,0.1247657388769348,MINI,BMW미니컨버터블
2016-03-16,0.1151721881228371,MINI,BMW미니컨버터블
2016-03-17,0.1259556366448849,MINI,BMW미니컨버터블
2016-03-18,0.17694771390891328,MINI,BMW미니컨버터블
2016-03-19,0.15954545905264303,MINI,BMW미니컨버터블
2016-03-20,0.16316473143015794,MINI,BMW미니컨버터블
2016-03-21,0.1889458497357435,MINI,BMW미니컨버터블
