period,ratio,title,sub_title
2016-01-01,5.998200279625975,Mercedes-Benz,더클래스효성
2016-01-02,5.7990411407153255,Mercedes-Benz,더클래스효성
2016-01-03,5.749833910103223,Mercedes-Benz,더클래스효성
2016-01-04,6.060595543832858,Mercedes-Benz,더클래스효성
2016-01-05,6.0209818639748525,Mercedes-Benz,더클래스효성
2016-01-06,6.077973009152297,Mercedes-Benz,더클래스효성
2016-01-07,5.991606262828585,Mercedes-Benz,더클래스효성
2016-01-08,5.664062112663486,Mercedes-Benz,더클래스효성
2016-01-09,6.15236640918601,Mercedes-Benz,더클래스효성
2016-01-10,6.060595543832858,Mercedes-Benz,더클래스효성
2016-01-11,6.326339378675049,Mercedes-Benz,더클래스효성
2016-01-12,6.398923142520005,Mercedes-Benz,더클래스효성
2016-01-13,6.355714979821316,Mercedes-Benz,더클래스효성
2016-01-14,5.972394371783556,Mercedes-Benz,더클래스효성
2016-01-15,6.057596009876151,Mercedes-Benz,더클래스효성
2016-01-16,6.297533936875922,Mercedes-Benz,더클래스효성
2016-01-17,6.180552112564327,Mercedes-Benz,더클래스효성
2016-01-18,6.308937123818778,Mercedes-Benz,더클래스효성
2016-01-19,6.995210661483999,Mercedes-Benz,더클래스효성
2016-01-20,7.302947971720095,Mercedes-Benz,더클래스효성
2016-01-21,7.259739809021407,Mercedes-Benz,더클래스효성
2016-01-22,6.6460748247379735,Mercedes-Benz,더클래스효성
2016-01-23,6.462508304494837,Mercedes-Benz,더클래스효성
2016-01-24,6.378521353707026,Mercedes-Benz,더클래스효성
2016-01-25,6.602866662039285,Mercedes-Benz,더클래스효성
2016-01-26,6.557873652688673,Mercedes-Benz,더클래스효성
2016-01-27,6.506286626540669,Mercedes-Benz,더클래스효성
2016-01-28,6.694067368045294,Mercedes-Benz,더클래스효성
2016-01-29,6.33652787831312,Mercedes-Benz,더클래스효성
2016-01-30,6.71206457178554,Mercedes-Benz,더클래스효성
2016-01-31,6.4942884907138385,Mercedes-Benz,더클래스효성
2016-02-01,6.791837301311861,Mercedes-Benz,더클래스효성
2016-02-02,6.260349631627482,Mercedes-Benz,더클래스효성
2016-02-03,6.516499915715574,Mercedes-Benz,더클래스효성
2016-02-04,6.6622623922894615,Mercedes-Benz,더클래스효성
2016-02-05,6.203358486450037,Mercedes-Benz,더클래스효성
2016-02-06,6.535687017223769,Mercedes-Benz,더클래스효성
2016-02-07,6.710849884480757,Mercedes-Benz,더클래스효성
2016-02-08,7.794846751083302,Mercedes-Benz,더클래스효성
2016-02-09,7.308327301212703,Mercedes-Benz,더클래스효성
2016-02-10,7.713859334252198,Mercedes-Benz,더클래스효성
2016-02-11,7.597472458824578,Mercedes-Benz,더클래스효성
2016-02-12,6.989806542454559,Mercedes-Benz,더클래스효성
2016-02-13,6.968214855873632,Mercedes-Benz,더클래스효성
2016-02-14,6.497907763091354,Mercedes-Benz,더클래스효성
2016-02-15,6.667071562434926,Mercedes-Benz,더클래스효성
2016-02-16,7.395313785957222,Mercedes-Benz,더클래스효성
2016-02-17,6.937004829001774,Mercedes-Benz,더클래스효성
2016-02-18,6.9190076252615285,Mercedes-Benz,더클래스효성
2016-02-19,7.005399161122073,Mercedes-Benz,더클래스효성
2016-02-20,7.102574145504664,Mercedes-Benz,더클래스효성
2016-02-21,7.188370732481234,Mercedes-Benz,더클래스효성
2016-02-22,6.811644141240865,Mercedes-Benz,더클래스효성
2016-02-23,6.88001368382433,Mercedes-Benz,더클래스효성
2016-02-24,6.655073426608096,Mercedes-Benz,더클래스효성
2016-02-25,6.9634056857281665,Mercedes-Benz,더클래스효성
2016-02-26,6.949002964828604,Mercedes-Benz,더클래스효성
2016-02-27,7.3143263691261176,Mercedes-Benz,더클래스효성
2016-02-28,7.254955428412775,Mercedes-Benz,더클래스효성
2016-02-29,7.509296076312109,Mercedes-Benz,더클래스효성
2016-03-01,7.629277434580411,Mercedes-Benz,더클래스효성
2016-03-02,6.275942250294995,Mercedes-Benz,더클래스효성
2016-03-03,6.022196551279635,Mercedes-Benz,더클래스효성
2016-03-04,6.564492459022894,Mercedes-Benz,더클래스효성
2016-03-05,6.398328193636029,Mercedes-Benz,더클래스효성
2016-03-06,6.381520887663734,Mercedes-Benz,더클래스효성
2016-03-07,6.364713581691438,Mercedes-Benz,더클래스효성
2016-03-08,7.2525508433400425,Mercedes-Benz,더클래스효성
2016-03-09,6.7576525300201284,Mercedes-Benz,더클래스효성
2016-03-10,6.280131682019652,Mercedes-Benz,더클래스효성
2016-03-11,6.376711717518269,Mercedes-Benz,더클래스효성
2016-03-12,6.66526192624617,Mercedes-Benz,더클래스효성
2016-03-13,6.864421065156818,Mercedes-Benz,더클래스효성
2016-03-14,6.430703328739005,Mercedes-Benz,더클래스효성
2016-03-15,6.0437882378605625,Mercedes-Benz,더클래스효성
2016-03-16,6.356929667126099,Mercedes-Benz,더클래스효성
2016-03-17,6.682664181102439,Mercedes-Benz,더클래스효성
2016-03-18,6.915413142420846,Mercedes-Benz,더클래스효성
2016-03-19,6.931005761088358,Mercedes-Benz,더클래스효성
2016-03-20,7.078577873851004,Mercedes-Benz,더클래스효성
2016-03-21,6.5572787038046965,Mercedes-Benz,더클래스효성
2016-03-22,6.557873652688673,Mercedes-Benz,더클래스효성
2016-03-23,6.601676764271335,Mercedes-Benz,더클래스효성
2016-03-24,6.622673501968288,Mercedes-Benz,더클래스효성
2016-03-25,6.442106515681861,Mercedes-Benz,더클래스효성
2016-03-26,6.693447629624487,Mercedes-Benz,더클래스효성
2016-03-27,6.822427589762912,Mercedes-Benz,더클래스효성
2016-03-28,6.641265654592509,Mercedes-Benz,더클래스효성
2016-03-29,7.57047665321421,Mercedes-Benz,더클래스효성
2016-03-30,7.0761732887782705,Mercedes-Benz,더클래스효성
2016-03-31,6.398328193636029,Mercedes-Benz,더클래스효성
2016-04-01,6.499097660859304,Mercedes-Benz,더클래스효성
2016-04-02,6.887822387926502,Mercedes-Benz,더클래스효성
2016-04-03,7.806225148489324,Mercedes-Benz,더클래스효성
2016-04-04,7.512890559152792,Mercedes-Benz,더클래스효성
2016-04-05,7.041393568602563,Mercedes-Benz,더클래스효성
2016-04-06,7.272332893732212,Mercedes-Benz,더클래스효성
2016-04-07,6.788242818471179,Mercedes-Benz,더클래스효성
2016-04-08,6.173363146882963,Mercedes-Benz,더클래스효성
2016-04-09,6.514690279526817,Mercedes-Benz,더클래스효성
2016-04-10,6.619673968011581,Mercedes-Benz,더클래스효성
2016-04-11,6.397113506331246,Mercedes-Benz,더클래스효성
2016-04-12,6.466697736219495,Mercedes-Benz,더클래스효성
2016-04-13,6.170363612926256,Mercedes-Benz,더클래스효성
2016-04-14,5.623258535037531,Mercedes-Benz,더클래스효성
2016-04-15,6.337717776081071,Mercedes-Benz,더클래스효성
2016-04-16,6.604081349344068,Mercedes-Benz,더클래스효성
2016-04-17,6.328124225326973,Mercedes-Benz,더클래스효성
2016-04-18,6.46729268510347,Mercedes-Benz,더클래스효성
2016-04-19,6.691067834088587,Mercedes-Benz,더클래스효성
2016-04-20,7.031180279427658,Mercedes-Benz,더클래스효성
2016-04-21,6.664666977362193,Mercedes-Benz,더클래스효성
2016-04-22,6.548875050818549,Mercedes-Benz,더클래스효성
2016-04-23,7.030585330543683,Mercedes-Benz,더클래스효성
2016-04-24,6.68925819789983,Mercedes-Benz,더클래스효성
2016-04-25,6.332933395472438,Mercedes-Benz,더클래스효성
2016-04-26,6.316126089500142,Mercedes-Benz,더클래스효성
2016-04-27,6.854232565518744,Mercedes-Benz,더클래스효성
2016-04-28,7.220150918700234,Mercedes-Benz,더클래스효성
2016-04-29,6.211142401015378,Mercedes-Benz,더클래스효성
2016-04-30,6.407326795506152,Mercedes-Benz,더클래스효성
2016-05-01,6.362333786155538,Mercedes-Benz,더클래스효성
2016-05-02,6.561492925066187,Mercedes-Benz,더클래스효성
2016-05-03,6.350930599212683,Mercedes-Benz,더클래스효성
2016-05-04,5.751048597408005,Mercedes-Benz,더클래스효성
2016-05-05,5.923806879592261,Mercedes-Benz,더클래스효성
2016-05-06,6.27653719917897,Mercedes-Benz,더클래스효성
2016-05-07,6.544685619093891,Mercedes-Benz,더클래스효성
2016-05-08,6.731846622177709,Mercedes-Benz,더클래스효성
2016-05-09,6.862636218504893,Mercedes-Benz,더클래스효성
2016-05-10,7.0011849398605825,Mercedes-Benz,더클래스효성
2016-05-11,7.02039683090561,Mercedes-Benz,더클래스효성
2016-05-12,6.6244831381570455,Mercedes-Benz,더클래스효성
2016-05-13,6.30593758986207,Mercedes-Benz,더클래스효성
2016-05-14,6.58367956053109,Mercedes-Benz,더클래스효성
2016-05-15,6.556088806036747,Mercedes-Benz,더클래스효성
2016-05-16,6.617269382938848,Mercedes-Benz,더클래스효성
2016-05-17,6.140963222243155,Mercedes-Benz,더클래스효성
2016-05-18,6.063595077789565,Mercedes-Benz,더클래스효성
2016-05-19,6.071378992354906,Mercedes-Benz,더클래스효성
2016-05-20,6.223140536842209,Mercedes-Benz,더클래스효성
2016-05-21,6.621483604200338,Mercedes-Benz,더클래스효성
2016-05-22,6.616079485170897,Mercedes-Benz,더클래스효성
2016-05-23,6.7522484109906875,Mercedes-Benz,더클래스효성
2016-05-24,7.627467798391654,Mercedes-Benz,더클래스효성
2016-05-25,7.497892889369254,Mercedes-Benz,더클래스효성
2016-05-26,6.427703794782297,Mercedes-Benz,더클래스효성
2016-05-27,6.356929667126099,Mercedes-Benz,더클래스효성
2016-05-28,6.727062241569078,Mercedes-Benz,더클래스효성
2016-05-29,6.73065672440976,Mercedes-Benz,더클래스효성
2016-05-30,6.506286626540669,Mercedes-Benz,더클래스효성
2016-05-31,6.003604398655415,Mercedes-Benz,더클래스효성
2016-06-01,6.008388779264048,Mercedes-Benz,더클래스효성
2016-06-02,6.32571964025424,Mercedes-Benz,더클래스효성
2016-06-03,6.123560967386884,Mercedes-Benz,더클래스효성
2016-06-04,6.747439240845224,Mercedes-Benz,더클래스효성
2016-06-05,6.492503644061913,Mercedes-Benz,더클래스효성
2016-06-06,7.860836498130868,Mercedes-Benz,더클래스효성
2016-06-07,6.930410812204384,Mercedes-Benz,더클래스효성
2016-06-08,6.92141221033426,Mercedes-Benz,더클래스효성
2016-06-09,6.87763388828843,Mercedes-Benz,더클래스효성
2016-06-10,6.697661850885977,Mercedes-Benz,더클래스효성
2016-06-11,6.565682356790845,Mercedes-Benz,더클래스효성
2016-06-12,7.088791163025909,Mercedes-Benz,더클래스효성
2016-06-13,6.619673968011581,Mercedes-Benz,더클래스효성
2016-06-14,6.285535801049091,Mercedes-Benz,더클래스효성
2016-06-15,6.364713581691438,Mercedes-Benz,더클래스효성
2016-06-16,6.244757012959969,Mercedes-Benz,더클래스효성
2016-06-17,6.135559103213715,Mercedes-Benz,더클래스효성
2016-06-18,6.378521353707026,Mercedes-Benz,더클래스효성
2016-06-19,6.5626828228341365,Mercedes-Benz,더클래스효성
2016-06-20,6.8398298446191825,Mercedes-Benz,더클래스효성
2016-06-21,6.488909161221231,Mercedes-Benz,더클래스효성
2016-06-22,6.335932929429146,Mercedes-Benz,더클래스효성
2016-06-23,6.390519489533857,Mercedes-Benz,더클래스효성
2016-06-24,6.508096262729426,Mercedes-Benz,더클래스효성
2016-06-25,6.464293151146763,Mercedes-Benz,더클래스효성
2016-06-26,6.476291286973593,Mercedes-Benz,더클래스효성
2016-06-27,6.426513897014346,Mercedes-Benz,더클래스효성
2016-06-28,6.1553659431427175,Mercedes-Benz,더클래스효성
2016-06-29,5.783448522047813,Mercedes-Benz,더클래스효성
2016-06-30,6.102564229689931,Mercedes-Benz,더클래스효성
2016-07-01,5.920807345635553,Mercedes-Benz,더클래스효성
2016-07-02,6.097779849081299,Mercedes-Benz,더클래스효성
2016-07-03,6.352715445864609,Mercedes-Benz,더클래스효성
2016-07-04,6.309532072702753,Mercedes-Benz,더클래스효성
2016-07-05,6.04559787404932,Mercedes-Benz,더클래스효성
2016-07-06,6.575275907544942,Mercedes-Benz,더클래스효성
2016-07-07,6.6070808833007755,Mercedes-Benz,더클래스효성
2016-07-08,5.940614185564556,Mercedes-Benz,더클래스효성
2016-07-09,6.316126089500142,Mercedes-Benz,더클래스효성
2016-07-10,6.7858382333984455,Mercedes-Benz,더클래스효성
2016-07-11,7.72285793612232,Mercedes-Benz,더클래스효성
2016-07-12,7.57588077224365,Mercedes-Benz,더클래스효성
2016-07-13,7.083387043996468,Mercedes-Benz,더클래스효성
2016-07-14,6.998805144324683,Mercedes-Benz,더클래스효성
2016-07-15,6.782243750557764,Mercedes-Benz,더클래스효성
2016-07-16,6.544685619093891,Mercedes-Benz,더클래스효성
2016-07-17,7.103169094388639,Mercedes-Benz,더클래스효성
2016-07-18,6.904604904361966,Mercedes-Benz,더클래스효성
2016-07-19,6.497907763091354,Mercedes-Benz,더클래스효성
2016-07-20,7.422309591567591,Mercedes-Benz,더클래스효성
2016-07-21,7.013802814108221,Mercedes-Benz,더클래스효성
2016-07-22,6.974213923787047,Mercedes-Benz,더클래스효성
2016-07-23,7.019182143600828,Mercedes-Benz,더클래스효성
2016-07-24,7.154756120536643,Mercedes-Benz,더클래스효성
2016-07-25,6.775649733760374,Mercedes-Benz,더클래스효성
2016-07-26,6.931600709972334,Mercedes-Benz,더클래스효성
2016-07-27,6.791837301311861,Mercedes-Benz,더클래스효성
2016-07-28,6.619673968011581,Mercedes-Benz,더클래스효성
2016-07-29,6.572276373588235,Mercedes-Benz,더클래스효성
2016-07-30,6.440296879493102,Mercedes-Benz,더클래스효성
2016-07-31,6.7564378427153455,Mercedes-Benz,더클래스효성
2016-08-01,7.517699729298257,Mercedes-Benz,더클래스효성
2016-08-02,8.737245783299784,Mercedes-Benz,더클래스효성
2016-08-03,7.382125752362442,Mercedes-Benz,더클래스효성
2016-08-04,7.506891491239376,Mercedes-Benz,더클래스효성
2016-08-05,7.100789298852739,Mercedes-Benz,더클래스효성
2016-08-06,6.955002032742018,Mercedes-Benz,더클래스효성
2016-08-07,6.628077620997728,Mercedes-Benz,더클래스효성
2016-08-08,6.646669773621948,Mercedes-Benz,더클래스효성
2016-08-09,6.620863865779531,Mercedes-Benz,더클래스효성
2016-08-10,6.695257265813244,Mercedes-Benz,더클래스효성
2016-08-11,6.350930599212683,Mercedes-Benz,더클래스효성
2016-08-12,6.505096728772719,Mercedes-Benz,더클래스효성
2016-08-13,6.943598845799164,Mercedes-Benz,더클래스효성
