period,ratio,title,sub_title
2016-01-01,0.004784380608632708,Nissan,닛산엑스트레일
2016-01-02,0.004784380608632708,Nissan,닛산엑스트레일
2016-01-03,0.008378863449315313,Nissan,닛산엑스트레일
2016-01-04,0.008378863449315313,Nissan,닛산엑스트레일
2016-01-05,0.007188965681365208,Nissan,닛산엑스트레일
2016-01-06,0.006594016797390157,Nissan,닛산엑스트레일
2016-01-08,0.0029747444198752583,Nissan,닛산엑스트레일
2016-01-09,0.00537932949260776,Nissan,닛산엑스트레일
2016-01-10,0.004189431724657656,Nissan,닛산엑스트레일
2016-01-11,0.003594482840682604,Nissan,닛산엑스트레일
2016-01-13,0.00778391456534026,Nissan,닛산엑스트레일
2016-01-14,0.0029747444198752583,Nissan,닛산엑스트레일
2016-01-15,0.0029747444198752583,Nissan,닛산엑스트레일
2016-01-17,0.0029747444198752583,Nissan,닛산엑스트레일
2016-01-18,0.004784380608632708,Nissan,닛산엑스트레일
2016-01-21,0.004784380608632708,Nissan,닛산엑스트레일
2016-01-22,0.0029747444198752583,Nissan,닛산엑스트레일
2016-01-26,0.004784380608632708,Nissan,닛산엑스트레일
2016-01-27,0.003594482840682604,Nissan,닛산엑스트레일
2016-01-28,0.004189431724657656,Nissan,닛산엑스트레일
2016-01-30,0.004189431724657656,Nissan,닛산엑스트레일
2016-01-31,0.004784380608632708,Nissan,닛산엑스트레일
2016-02-01,0.01018849963807276,Nissan,닛산엑스트레일
2016-02-02,0.0029747444198752583,Nissan,닛산엑스트레일
2016-02-03,0.08096262729427163,Nissan,닛산엑스트레일
2016-02-04,0.04077878808912334,Nissan,닛산엑스트레일
2016-02-05,0.01018849963807276,Nissan,닛산엑스트레일
2016-02-06,0.012593084710805263,Nissan,닛산엑스트레일
2016-02-07,0.020971948160120574,Nissan,닛산엑스트레일
2016-02-08,0.016187567551487866,Nissan,닛산엑스트레일
2016-02-09,0.011378397406022865,Nissan,닛산엑스트레일
