period,ratio,title,sub_title
2016-01-01,1.0803775942250293,Peugeot,한불모터스푸조2008
2016-01-02,1.1757429424188637,Peugeot,한불모터스푸조2008
2016-01-03,1.1511517218812282,Peugeot,한불모터스푸조2008
2016-01-04,3.8650110561334263,Peugeot,한불모터스푸조2008
2016-01-05,2.860811708594036,Peugeot,한불모터스푸조2008
2016-01-06,1.9214122103342617,Peugeot,한불모터스푸조2008
2016-01-07,1.6208638657795316,Peugeot,한불모터스푸조2008
2016-01-08,1.4870995250324741,Peugeot,한불모터스푸조2008
2016-01-09,1.4078969548532954,Peugeot,한불모터스푸조2008
2016-01-10,1.2945344029192156,Peugeot,한불모터스푸조2008
2016-01-11,3.934595286021675,Peugeot,한불모터스푸조2008
2016-01-12,2.8512181578399383,Peugeot,한불모터스푸조2008
2016-01-13,3.791832343404495,Peugeot,한불모터스푸조2008
2016-01-14,3.628667611974337,Peugeot,한불모터스푸조2008
2016-01-15,2.668866324901585,Peugeot,한불모터스푸조2008
2016-01-16,2.77622980892225,Peugeot,한불모터스푸조2008
2016-01-17,2.532672609544963,Peugeot,한불모터스푸조2008
2016-01-18,2.934610159743775,Peugeot,한불모터스푸조2008
2016-01-19,3.115177146030203,Peugeot,한불모터스푸조2008
2016-01-20,2.055176551081319,Peugeot,한불모터스푸조2008
2016-01-21,2.1265704171583253,Peugeot,한불모터스푸조2008
2016-01-22,1.9867822189610205,Peugeot,한불모터스푸조2008
2016-01-23,1.8098345050521072,Peugeot,한불모터스푸조2008
2016-01-24,1.6094606788366763,Peugeot,한불모터스푸조2008
2016-01-25,1.5680869418635779,Peugeot,한불모터스푸조2008
2016-01-26,1.5440906702099175,Peugeot,한불모터스푸조2008
2016-01-27,1.486504576148499,Peugeot,한불모터스푸조2008
2016-01-28,1.4846949399597416,Peugeot,한불모터스푸조2008
2016-01-29,1.4636982022627887,Peugeot,한불모터스푸조2008
2016-01-30,1.580085077690408,Peugeot,한불모터스푸조2008
2016-01-31,1.6148647978661164,Peugeot,한불모터스푸조2008
2016-02-01,1.7090402482920006,Peugeot,한불모터스푸조2008
2016-02-02,2.245337088121845,Peugeot,한불모터스푸조2008
2016-02-03,2.057581136154052,Peugeot,한불모터스푸조2008
2016-02-04,2.430093506132931,Peugeot,한불모터스푸조2008
2016-02-05,2.1541611716526683,Peugeot,한불모터스푸조2008
2016-02-06,1.995185871947168,Peugeot,한불모터스푸조2008
2016-02-07,1.8350206744737179,Peugeot,한불모터스푸조2008
2016-02-08,2.487704389731182,Peugeot,한불모터스푸조2008
2016-02-09,2.8236274033455957,Peugeot,한불모터스푸조2008
2016-02-10,2.7900375809378377,Peugeot,한불모터스푸조2008
2016-02-11,2.308327301212704,Peugeot,한불모터스푸조2008
2016-02-12,2.0569861872700765,Peugeot,한불모터스푸조2008
2016-02-13,1.923197056986187,Peugeot,한불모터스푸조2008
