period,ratio,title,sub_title
2016-01-01,2.1415680869418634,Porsche,포르쉐파나메라*
2016-01-02,2.23933802020843,Porsche,포르쉐파나메라*
2016-01-03,2.1319745361877653,Porsche,포르쉐파나메라*
2016-01-04,1.7804341143690068,Porsche,포르쉐파나메라*
2016-01-05,1.4595087705381309,Porsche,포르쉐파나메라*
2016-01-06,1.4408918283770784,Porsche,포르쉐파나메라*
2016-01-07,2.082172356691687,Porsche,포르쉐파나메라*
2016-01-08,2.1433529335937886,Porsche,포르쉐파나메라*
2016-01-09,1.661667443405487,Porsche,포르쉐파나메라*
2016-01-10,1.602271713155311,Porsche,포르쉐파나메라*
2016-01-11,1.5752759075449432,Porsche,포르쉐파나메라*
2016-01-12,1.7294420371049783,Porsche,포르쉐파나메라*
2016-01-13,1.6208638657795316,Porsche,포르쉐파나메라*
2016-01-14,1.725847554264296,Porsche,포르쉐파나메라*
2016-01-15,1.583679560531091,Porsche,포르쉐파나메라*
2016-01-16,1.6604527561007048,Porsche,포르쉐파나메라*
2016-01-17,1.6106753661414588,Porsche,포르쉐파나메라*
2016-01-18,1.4565092365814236,Porsche,포르쉐파나메라*
2016-01-19,1.4408918283770784,Porsche,포르쉐파나메라*
2016-01-20,1.4402968794931035,Porsche,포르쉐파나메라*
2016-01-21,1.3611190988507567,Porsche,포르쉐파나메라*
2016-01-22,1.53028289819433,Porsche,포르쉐파나메라*
2016-01-23,1.5122856944540846,Porsche,포르쉐파나메라*
2016-01-24,1.40070798917193,Porsche,포르쉐파나메라*
2016-01-25,1.406707057085345,Porsche,포르쉐파나메라*
2016-01-26,1.5110957966861343,Porsche,포르쉐파나메라*
2016-01-27,1.7834336483257145,Porsche,포르쉐파나메라*
2016-01-28,1.949002964828605,Porsche,포르쉐파나메라*
2016-01-29,1.6046762982280436,Porsche,포르쉐파나메라*
2016-01-30,1.80802486886335,Porsche,포르쉐파나메라*
2016-01-31,1.69044809566778,Porsche,포르쉐파나메라*
2016-02-01,1.5776804926176757,Porsche,포르쉐파나메라*
2016-02-02,1.558468601572648,Porsche,포르쉐파나메라*
2016-02-03,1.428893692550248,Porsche,포르쉐파나메라*
2016-02-04,1.476886235857569,Porsche,포르쉐파나메라*
2016-02-05,1.595677696357921,Porsche,포르쉐파나메라*
2016-02-06,1.7084452994080257,Porsche,포르쉐파나메라*
2016-02-07,1.5860841456038235,Porsche,포르쉐파나메라*
2016-02-08,2.063580204067467,Porsche,포르쉐파나메라*
2016-02-09,1.8584219972434033,Porsche,포르쉐파나메라*
2016-02-10,1.8104294539360823,Porsche,포르쉐파나메라*
2016-02-11,1.5776804926176757,Porsche,포르쉐파나메라*
2016-02-12,1.787623080050372,Porsche,포르쉐파나메라*
2016-02-13,1.6508592053466071,Porsche,포르쉐파나메라*
2016-02-14,1.7174439012781484,Porsche,포르쉐파나메라*
2016-02-15,2.1319745361877653,Porsche,포르쉐파나메라*
2016-02-16,2.968794931035508,Porsche,포르쉐파나메라*
2016-02-17,1.8008359031819847,Porsche,포르쉐파나메라*
2016-02-18,1.7360360539023685,Porsche,포르쉐파나메라*
2016-02-19,1.7330365199456612,Porsche,포르쉐파나메라*
2016-02-20,2.088171424605102,Porsche,포르쉐파나메라*
2016-02-21,1.939409414074507,Porsche,포르쉐파나메라*
2016-02-22,1.7942418863845946,Porsche,포르쉐파나메라*
2016-02-23,1.6844490277543651,Porsche,포르쉐파나메라*
2016-02-24,1.737845690091126,Porsche,포르쉐파나메라*
2016-02-25,1.711444833364733,Porsche,포르쉐파나메라*
