,brand_ad,brand,advertiser,keys,values
,ASTON MARTIN_기흥인터내셔널,ASTON MARTIN,기흥인터내셔널,ASTON MARTIN,"애스턴마틴,ASTON MARTIN"
,ASTON MARTIN_기흥애스턴마틴밴티지,ASTON MARTIN,기흥애스턴마틴밴티지,ASTON MARTIN,"애스턴마틴,ASTON MARTIN"
,ASTON MARTIN_기흥인터내셔널애스턴마틴,ASTON MARTIN,기흥인터내셔널애스턴마틴,ASTON MARTIN,"애스턴마틴,ASTON MARTIN"
,Nissan_닛산엑스트레일,Nissan,닛산엑스트레일,Nissan,"닛산엑스트레일,닛산X-TRAIL,엑스트레일"
,Nissan_닛산알티마,Nissan,닛산알티마,ALTIMA,"닛산알티마2.0,알티마2.0,NissanAltima2.0,Nissan알티마2.0"
,Nissan_닛산인피니티Q30,Nissan,닛산인피니티Q30,Nissan,"인피니티Q30,Q30"
,Nissan_닛산인피니티Q50,Nissan,닛산인피니티Q50,,"인피니티Q50,인피니티QX50,QX50"
,Nissan_닛산인피니티QX50,Nissan,닛산인피니티QX50,QX50,"QX50,인피니티QX50,큐엑스오공,QX오공"
,Mercedes-Benz_더클래스효성,Mercedes-Benz,더클래스효성,더클래스효성,"Mercedes-Benz,메르세데스벤츠,벤츠,Benz"
,Mercedes-Benz_더클래스효성벤츠E클래스,Mercedes-Benz,더클래스효성벤츠E클래스,E_CLASS,"벤츠E클래스,벤츠E클래스가격,벤츠E300,벤츠E250,벤츠220D"
,Mercedes-Benz_더클래스효성벤츠GLE쿠페,Mercedes-Benz,더클래스효성벤츠GLE쿠페,GEL_COUPE,"벤츠GLE쿠페,벤츠GLE,벤츠GLE300D,벤츠GLE450,벤츠GLE350D쿠페"
,Mercedes-Benz_더클래스효성벤츠S클래스,Mercedes-Benz,더클래스효성벤츠S클래스,S_CLASS,"벤츠S클래스,벤츠S500,벤츠S350D,벤츠S클래스리스,벤츠S63AMG,벤츠S450,벤츠S,벤츠S400"
,BMW_도이치모터스,BMW,도이치모터스,BMW,"BMW,비엠더블유"
,BMW_도이치모터스BMW,BMW,도이치모터스BMW,BMW,"BMW,비엠더블유"
,Lincoln_링컨컨티넨탈,Lincoln,링컨컨티넨탈,CONTINENTAL,링컨컨티넨탈
