period,ratio,title,sub_title
2016-01-01,1.0383841188311236,Cadillac,지엠캐딜락XT6
2016-01-02,0.9034050907792837,Cadillac,지엠캐딜락XT6
2016-01-03,0.8626263026901604,Cadillac,지엠캐딜락XT6
2016-01-04,0.9459935150571646,Cadillac,지엠캐딜락XT6
2016-01-05,0.9663953038701424,Cadillac,지엠캐딜락XT6
2016-01-06,0.8920019038364285,Cadillac,지엠캐딜락XT6
2016-01-07,0.8512231157473052,Cadillac,지엠캐딜락XT6
2016-01-08,0.9328054814623843,Cadillac,지엠캐딜락XT6
2016-01-09,0.9682049400588997,Cadillac,지엠캐딜락XT6
2016-01-10,1.1517466707652033,Cadillac,지엠캐딜락XT6
2016-01-11,1.0539767374986364,Cadillac,지엠캐딜락XT6
2016-01-12,1.0233864490475857,Cadillac,지엠캐딜락XT6
2016-01-13,1.1817420103322789,Cadillac,지엠캐딜락XT6
2016-01-14,1.2171414689287943,Cadillac,지엠캐딜락XT6
2016-01-15,0.9982002796259752,Cadillac,지엠캐딜락XT6
2016-01-16,0.9028101418953087,Cadillac,지엠캐딜락XT6
2016-01-17,1.052167101309879,Cadillac,지엠캐딜락XT6
2016-01-18,1.1799571636803536,Cadillac,지엠캐딜락XT6
2016-01-19,1.137963688286448,Cadillac,지엠캐딜락XT6
2016-01-20,1.4085166932741027,Cadillac,지엠캐딜락XT6
2016-01-21,1.5230939325129647,Cadillac,지엠캐딜락XT6
2016-01-22,1.4193001417961506,Cadillac,지엠캐딜락XT6
2016-01-23,1.2105474521314041,Cadillac,지엠캐딜락XT6
2016-01-24,1.1877410782456939,Cadillac,지엠캐딜락XT6
2016-01-25,1.3095320727027533,Cadillac,지엠캐딜락XT6
2016-01-26,1.4912889567571317,Cadillac,지엠캐딜락XT6
2016-01-27,1.9861872700770458,Cadillac,지엠캐딜락XT6
2016-01-28,1.5860841456038235,Cadillac,지엠캐딜락XT6
2016-01-29,1.5440906702099175,Cadillac,지엠캐딜락XT6
2016-01-30,1.2687284950767979,Cadillac,지엠캐딜락XT6
2016-01-31,1.3353131910083391,Cadillac,지엠캐딜락XT6
2016-02-01,1.1349641543297404,Cadillac,지엠캐딜락XT6
2016-02-02,1.176362680839671,Cadillac,지엠캐딜락XT6
2016-02-03,1.0239813979315608,Cadillac,지엠캐딜락XT6
2016-02-04,1.0149827960614384,Cadillac,지엠캐딜락XT6
2016-02-05,1.0179823300181459,Cadillac,지엠캐딜락XT6
2016-02-06,1.0209818639748534,Cadillac,지엠캐딜락XT6
2016-02-07,1.0335749486856585,Cadillac,지엠캐딜락XT6
2016-02-08,1.286725698817043,Cadillac,지엠캐딜락XT6
2016-02-09,1.171553510694206,Cadillac,지엠캐딜락XT6
2016-02-10,1.0683794583981991,Cadillac,지엠캐딜락XT6
2016-02-11,1.1397733244752053,Cadillac,지엠캐딜락XT6
2016-02-12,1.1631498577080583,Cadillac,지엠캐딜락XT6
2016-02-13,1.8722049797221587,Cadillac,지엠캐딜락XT6
2016-02-14,1.764246546817519,Cadillac,지엠캐딜락XT6
2016-02-15,1.5818699243423333,Cadillac,지엠캐딜락XT6
2016-02-16,1.7360360539023685,Cadillac,지엠캐딜락XT6
2016-02-17,1.7864331822824218,Cadillac,지엠캐딜락XT6
2016-02-18,2.077363186546222,Cadillac,지엠캐딜락XT6
2016-02-19,2.4150958363493933,Cadillac,지엠캐딜락XT6
2016-02-20,1.6340518993743118,Cadillac,지엠캐딜락XT6
2016-02-21,1.3215302085295837,Cadillac,지엠캐딜락XT6
2016-02-22,1.1643645450128408,Cadillac,지엠캐딜락XT6
2016-02-23,1.1319646203730327,Cadillac,지엠캐딜락XT6
2016-02-24,1.4522950153199334,Cadillac,지엠캐딜락XT6
2016-02-25,2.6346567640730196,Cadillac,지엠캐딜락XT6
2016-02-26,2.299923648226556,Cadillac,지엠캐딜락XT6
2016-02-27,2.0263958988190263,Cadillac,지엠캐딜락XT6
2016-02-28,1.683259129986415,Cadillac,지엠캐딜락XT6
2016-02-29,1.6154597467500913,Cadillac,지엠캐딜락XT6
2016-03-01,2.080982458923737,Cadillac,지엠캐딜락XT6
2016-03-02,1.4145157611875177,Cadillac,지엠캐딜락XT6
2016-03-03,1.2555404614820176,Cadillac,지엠캐딜락XT6
2016-03-04,1.3083173853979708,Cadillac,지엠캐딜락XT6
2016-03-05,1.253135876409285,Cadillac,지엠캐딜락XT6
2016-03-06,1.2777270969469205,Cadillac,지엠캐딜락XT6
2016-03-07,1.209357554363454,Cadillac,지엠캐딜락XT6
2016-03-08,1.1949548334638915,Cadillac,지엠캐딜락XT6
2016-03-09,1.1013743319219822,Cadillac,지엠캐딜락XT6
2016-03-10,1.0413836527878313,Cadillac,지엠캐딜락XT6
2016-03-11,1.3479310652559764,Cadillac,지엠캐딜락XT6
2016-03-12,1.5422810340211601,Cadillac,지엠캐딜락XT6
2016-03-13,1.2273547581036994,Cadillac,지엠캐딜락XT6
2016-03-14,1.2231405368422095,Cadillac,지엠캐딜락XT6
2016-03-15,1.4175152951442254,Cadillac,지엠캐딜락XT6
2016-03-16,1.4127061249987605,Cadillac,지엠캐딜락XT6
2016-03-17,1.2381382066257471,Cadillac,지엠캐딜락XT6
2016-03-18,1.2597298932066752,Cadillac,지엠캐딜락XT6
2016-03-19,1.5284732620055725,Cadillac,지엠캐딜락XT6
2016-03-20,1.3803062003589524,Cadillac,지엠캐딜락XT6
2016-03-21,1.362308996618707,Cadillac,지엠캐딜락XT6
2016-03-22,1.2195460540015268,Cadillac,지엠캐딜락XT6
2016-03-23,1.1553659431427181,Cadillac,지엠캐딜락XT6
2016-03-24,1.1193715356622276,Cadillac,지엠캐딜락XT6
2016-03-25,1.0419786016718062,Cadillac,지엠캐딜락XT6
2016-03-26,1.1439627561998629,Cadillac,지엠캐딜락XT6
2016-03-27,1.1829566976370611,Cadillac,지엠캐딜락XT6
2016-03-28,1.0923757300518595,Cadillac,지엠캐딜락XT6
2016-03-29,1.1685539767374984,Cadillac,지엠캐딜락XT6
2016-03-30,1.0341698975696336,Cadillac,지엠캐딜락XT6
2016-03-31,1.6412656545925093,Cadillac,지엠캐딜락XT6
2016-04-01,1.6742605281162926,Cadillac,지엠캐딜락XT6
2016-04-02,1.2351386726690397,Cadillac,지엠캐딜락XT6
2016-04-03,2.1997491298872567,Cadillac,지엠캐딜락XT6
2016-04-04,1.5806800265743832,Cadillac,지엠캐딜락XT6
2016-04-05,1.0323850509177084,Cadillac,지엠캐딜락XT6
2016-04-06,1.0365744826423662,Cadillac,지엠캐딜락XT6
2016-04-07,1.083972077065712,Cadillac,지엠캐딜락XT6
2016-04-08,1.100779383038007,Cadillac,지엠캐딜락XT6
2016-04-09,1.063570288252734,Cadillac,지엠캐딜락XT6
2016-04-10,1.7462493430772736,Cadillac,지엠캐딜락XT6
2016-04-11,1.2777270969469205,Cadillac,지엠캐딜락XT6
2016-04-12,1.1103729337921049,Cadillac,지엠캐딜락XT6
2016-04-13,1.0125782109887058,Cadillac,지엠캐딜락XT6
2016-04-14,1.3497159119079016,Cadillac,지엠캐딜락XT6
2016-04-15,1.6256730359249965,Cadillac,지엠캐딜락XT6
2016-04-16,2.577070670011601,Cadillac,지엠캐딜락XT6
2016-04-17,1.8566123610546457,Cadillac,지엠캐딜락XT6
2016-04-18,1.94300389691519,Cadillac,지엠캐딜락XT6
2016-04-19,1.4972880246705467,Cadillac,지엠캐딜락XT6
2016-04-20,1.297533936875923,Cadillac,지엠캐딜락XT6
2016-04-21,1.1829566976370611,Cadillac,지엠캐딜락XT6
2016-04-22,1.1325595692570078,Cadillac,지엠캐딜락XT6
2016-04-23,1.2099525032474292,Cadillac,지엠캐딜락XT6
2016-04-24,1.3353131910083391,Cadillac,지엠캐딜락XT6
2016-04-25,1.2099525032474292,Cadillac,지엠캐딜락XT6
2016-04-26,0.9987952285099503,Cadillac,지엠캐딜락XT6
2016-04-27,1.2291396047556244,Cadillac,지엠캐딜락XT6
2016-04-28,1.1637448065920335,Cadillac,지엠캐딜락XT6
2016-04-29,1.3341232932403888,Cadillac,지엠캐딜락XT6
2016-04-30,1.7486291386131738,Cadillac,지엠캐딜락XT6
2016-05-01,1.520094398556257,Cadillac,지엠캐딜락XT6
2016-05-02,1.2987238346438734,Cadillac,지엠캐딜락XT6
2016-05-03,1.063570288252734,Cadillac,지엠캐딜락XT6
2016-05-04,1.0107933643367806,Cadillac,지엠캐딜락XT6
2016-05-05,1.1673640789695483,Cadillac,지엠캐딜락XT6
2016-05-06,1.2513510297573598,Cadillac,지엠캐딜락XT6
2016-05-07,1.1511517218812282,Cadillac,지엠캐딜락XT6
2016-05-08,1.1889557655504763,Cadillac,지엠캐딜락XT6
2016-05-09,1.2567303592499675,Cadillac,지엠캐딜락XT6
2016-05-10,1.3377177760810717,Cadillac,지엠캐딜락XT6
2016-05-11,1.2651340122361152,Cadillac,지엠캐딜락XT6
2016-05-12,1.2705381312655553,Cadillac,지엠캐딜락XT6
2016-05-13,1.2057382819859392,Cadillac,지엠캐딜락XT6
2016-05-14,1.1871461293617187,Cadillac,지엠캐딜락XT6
2016-05-15,1.1739580957669384,Cadillac,지엠캐딜락XT6
2016-05-16,1.3029380559053632,Cadillac,지엠캐딜락XT6
2016-05-17,1.2159515711608442,Cadillac,지엠캐딜락XT6
2016-05-18,1.3149361917321936,Cadillac,지엠캐딜락XT6
2016-05-19,1.236948308857797,Cadillac,지엠캐딜락XT6
2016-05-20,1.2927247667304584,Cadillac,지엠캐딜락XT6
2016-05-21,1.3755218197503196,Cadillac,지엠캐딜락XT6
2016-05-22,1.3611190988507567,Cadillac,지엠캐딜락XT6
2016-05-23,1.2273547581036994,Cadillac,지엠캐딜락XT6
2016-05-24,1.3983034040991975,Cadillac,지엠캐딜락XT6
2016-05-25,1.2897252327737507,Cadillac,지엠캐딜락XT6
2016-05-26,1.2591349443227,Cadillac,지엠캐딜락XT6
2016-05-27,1.2555404614820176,Cadillac,지엠캐딜락XT6
2016-05-28,1.111562831560055,Cadillac,지엠캐딜락XT6
2016-05-29,1.5176898134835248,Cadillac,지엠캐딜락XT6
2016-05-30,1.7240379180755385,Cadillac,지엠캐딜락XT6
2016-05-31,1.2717280290335053,Cadillac,지엠캐딜락XT6
2016-06-01,1.1889557655504763,Cadillac,지엠캐딜락XT6
2016-06-02,1.3233150551815087,Cadillac,지엠캐딜락XT6
2016-06-03,1.231544189828357,Cadillac,지엠캐딜락XT6
2016-06-04,1.2603496316274825,Cadillac,지엠캐딜락XT6
2016-06-05,1.3191256234568511,Cadillac,지엠캐딜락XT6
2016-06-06,1.4301083798550305,Cadillac,지엠캐딜락XT6
2016-06-07,1.3971135063312476,Cadillac,지엠캐딜락XT6
2016-06-08,1.4672926851034713,Cadillac,지엠캐딜락XT6
2016-06-09,1.3869002171563425,Cadillac,지엠캐딜락XT6
2016-06-10,1.617269382938849,Cadillac,지엠캐딜락XT6
2016-06-11,1.7570327915993214,Cadillac,지엠캐딜락XT6
2016-06-12,1.68385407887039,Cadillac,지엠캐딜락XT6
2016-06-13,1.3767117175182695,Cadillac,지엠캐딜락XT6
2016-06-14,1.5230939325129647,Cadillac,지엠캐딜락XT6
2016-06-15,1.3155311406161687,Cadillac,지엠캐딜락XT6
2016-06-16,1.3083173853979708,Cadillac,지엠캐딜락XT6
2016-06-17,1.3821158365477098,Cadillac,지엠캐딜락XT6
2016-06-18,1.700041646421878,Cadillac,지엠캐딜락XT6
2016-06-19,1.460103719422106,Cadillac,지엠캐딜락XT6
2016-06-20,1.595082747473946,Cadillac,지엠캐딜락XT6
2016-06-21,1.6274578825769217,Cadillac,지엠캐딜락XT6
2016-06-22,1.847018810300548,Cadillac,지엠캐딜락XT6
2016-06-23,1.8572073099386208,Cadillac,지엠캐딜락XT6
2016-06-24,1.503882041467937,Cadillac,지엠캐딜락XT6
2016-06-25,1.3179357256889008,Cadillac,지엠캐딜락XT6
2016-06-26,1.2027387480292315,Cadillac,지엠캐딜락XT6
2016-06-27,1.0857817132544694,Cadillac,지엠캐딜락XT6
2016-06-28,1.24713680849587,Cadillac,지엠캐딜락XT6
2016-06-29,1.4996926097432792,Cadillac,지엠캐딜락XT6
2016-06-30,1.2561354103659923,Cadillac,지엠캐딜락XT6
2016-07-01,2.194345010857817,Cadillac,지엠캐딜락XT6
2016-07-02,2.289140199704508,Cadillac,지엠캐딜락XT6
2016-07-03,2.6340618151890447,Cadillac,지엠캐딜락XT6
2016-07-04,1.8536128270979382,Cadillac,지엠캐딜락XT6
2016-07-05,1.8500183442572555,Cadillac,지엠캐딜락XT6
2016-07-06,2.043773364138464,Cadillac,지엠캐딜락XT6
2016-07-07,2.046177949211197,Cadillac,지엠캐딜락XT6
2016-07-08,2.2471467243106025,Cadillac,지엠캐딜락XT6
2016-07-09,2.550669813285208,Cadillac,지엠캐딜락XT6
2016-07-10,2.449305397177959,Cadillac,지엠캐딜락XT6
2016-07-11,1.8350206744737179,Cadillac,지엠캐딜락XT6
2016-07-12,2.118166764172178,Cadillac,지엠캐딜락XT6
2016-07-13,1.8686104968814758,Cadillac,지엠캐딜락XT6
2016-07-14,1.8074299199793749,Cadillac,지엠캐딜락XT6
2016-07-15,1.5920832135172385,Cadillac,지엠캐딜락XT6
