period,ratio,title,sub_title
2016-01-01,6.307747226050827,Maserati,FMK마세라티
2016-01-02,5.878813870241648,Maserati,FMK마세라티
2016-01-03,5.005404119029439,Maserati,FMK마세라티
2016-01-04,4.385715277295758,Maserati,FMK마세라티
2016-01-05,4.277137105970311,Maserati,FMK마세라티
2016-01-06,3.992801118503901,Maserati,FMK마세라티
2016-01-07,4.165559400688156,Maserati,FMK마세라티
2016-01-08,3.7342462493430766,Maserati,FMK마세라티
2016-01-09,4.424709218732956,Maserati,FMK마세라티
2016-01-10,4.149966782020644,Maserati,FMK마세라티
2016-01-11,4.172153417485547,Maserati,FMK마세라티
2016-01-12,4.0905710517704685,Maserati,FMK마세라티
2016-01-13,3.9903965334311686,Maserati,FMK마세라티
2016-01-14,4.130754890975616,Maserati,FMK마세라티
2016-01-15,3.8224226318555456,Maserati,FMK마세라티
2016-01-16,4.769630834217493,Maserati,FMK마세라티
2016-01-17,4.250141300359943,Maserati,FMK마세라티
2016-01-18,3.724652698588979,Maserati,FMK마세라티
2016-01-19,4.016177651736754,Maserati,FMK마세라티
2016-01-20,3.7012513758192935,Maserati,FMK마세라티
2016-01-21,3.650259298555265,Maserati,FMK마세라티
2016-01-22,3.544680661186526,Maserati,FMK마세라티
2016-01-23,3.5188995428809404,Maserati,FMK마세라티
2016-01-24,3.5170899066921826,Maserati,FMK마세라티
2016-01-25,3.4709069995736193,Maserati,FMK마세라티
2016-01-26,4.116971908496861,Maserati,FMK마세라티
2016-01-27,3.7294370791976115,Maserati,FMK마세라티
2016-01-28,3.7762397247369823,Maserati,FMK마세라티
2016-01-29,3.75643288480798,Maserati,FMK마세라티
2016-01-30,5.412101260300052,Maserati,FMK마세라티
2016-01-31,5.2201558766076,Maserati,FMK마세라티
2016-02-01,3.8494184374659137,Maserati,FMK마세라티
2016-02-02,3.4889042033138646,Maserati,FMK마세라티
2016-02-03,3.381515929756368,Maserati,FMK마세라티
2016-02-04,3.5632728138107463,Maserati,FMK마세라티
2016-02-05,3.6130749933068245,Maserati,FMK마세라티
