period,ratio,title,sub_title
2016-01-01,3.5926850030821615,Volkswagen,아우디폭스바겐
2016-01-02,3.8260193148795025,Volkswagen,아우디폭스바겐
2016-01-03,3.815217072239998,Volkswagen,아우디폭스바겐
2016-01-04,4.452901635013356,Volkswagen,아우디폭스바겐
2016-01-05,4.760031702233833,Volkswagen,아우디폭스바겐
2016-01-06,4.819444036751109,Volkswagen,아우디폭스바겐
2016-01-07,4.797223119147562,Volkswagen,아우디폭스바겐
2016-01-08,4.094783808377609,Volkswagen,아우디폭스바겐
2016-01-09,3.9604015616285557,Volkswagen,아우디폭스바겐
2016-01-10,3.9394135086740834,Volkswagen,아우디폭스바겐
2016-01-11,4.38571051163883,Volkswagen,아우디폭스바겐
2016-01-12,4.123580004109549,Volkswagen,아우디폭스바겐
2016-01-13,5.010802242639505,Volkswagen,아우디폭스바겐
2016-01-14,4.11756245046526,Volkswagen,아우디폭스바겐
2016-01-15,4.308920656353656,Volkswagen,아우디폭스바겐
2016-01-16,3.6124695453077766,Volkswagen,아우디폭스바겐
2016-01-17,3.664044383127367,Volkswagen,아우디폭스바겐
2016-01-18,4.156573810432384,Volkswagen,아우디폭스바겐
2016-01-19,4.838612146652186,Volkswagen,아우디폭스바겐
2016-01-20,4.380925822643615,Volkswagen,아우디폭스바겐
2016-01-21,4.001203510728858,Volkswagen,아우디폭스바겐
2016-01-22,3.9928082895470696,Volkswagen,아우디폭스바겐
2016-01-23,3.9028091701646757,Volkswagen,아우디폭스바겐
2016-01-24,4.076789855285174,Volkswagen,아우디폭스바겐
2016-01-25,4.068981712507705,Volkswagen,아우디폭스바겐
2016-01-26,4.206945137523117,Volkswagen,아우디폭스바겐
2016-01-27,4.320926409722019,Volkswagen,아우디폭스바겐
2016-01-28,5.097777908239646,Volkswagen,아우디폭스바겐
2016-01-29,4.218334458566942,Volkswagen,아우디폭스바겐
2016-01-30,3.742037749141398,Volkswagen,아우디폭스바겐
2016-01-31,3.800833651334136,Volkswagen,아우디폭스바겐
2016-02-01,4.0887662547333194,Volkswagen,아우디폭스바겐
2016-02-02,8.348519094725102,Volkswagen,아우디폭스바겐
2016-02-03,4.924413655443685,Volkswagen,아우디폭스바겐
2016-02-04,4.832036868523792,Volkswagen,아우디폭스바겐
2016-02-05,4.136759914286554,Volkswagen,아우디폭스바겐
2016-02-06,3.8626236533889102,Volkswagen,아우디폭스바겐
2016-02-07,3.8536119998825846,Volkswagen,아우디폭스바겐
2016-02-08,4.820031115155429,Volkswagen,아우디폭스바겐
2016-02-09,4.469692077376934,Volkswagen,아우디폭스바겐
2016-02-10,4.6202776880852445,Volkswagen,아우디폭스바겐
2016-02-11,4.58728388176241,Volkswagen,아우디폭스바겐
2016-02-12,4.142161035606306,Volkswagen,아우디폭스바겐
2016-02-13,3.8170370152933923,Volkswagen,아우디폭스바겐
2016-02-14,3.673056036633693,Volkswagen,아우디폭스바겐
2016-02-15,4.208148648251974,Volkswagen,아우디폭스바겐
2016-02-16,4.364722458684358,Volkswagen,아우디폭스바겐
2016-02-17,3.8830246279390614,Volkswagen,아우디폭스바겐
2016-02-18,3.958610972495377,Volkswagen,아우디폭스바겐
2016-02-19,38.59694132151349,Volkswagen,아우디폭스바겐
2016-02-20,5.357530748231427,Volkswagen,아우디폭스바겐
2016-02-21,4.064167669592274,Volkswagen,아우디폭스바겐
2016-02-22,4.262130507529281,Volkswagen,아우디폭스바겐
2016-02-23,4.2111427481140105,Volkswagen,아우디폭스바겐
2016-02-24,4.075586344556316,Volkswagen,아우디폭스바겐
2016-02-25,4.121760061056155,Volkswagen,아우디폭스바겐
2016-02-26,4.013796342501542,Volkswagen,아우디폭스바겐
2016-02-27,3.8242287257463237,Volkswagen,아우디폭스바겐
2016-02-28,3.7048463322276692,Volkswagen,아우디폭스바겐
2016-02-29,3.9250007338480057,Volkswagen,아우디폭스바겐
2016-03-01,4.218334458566942,Volkswagen,아우디폭스바겐
2016-03-02,4.39290222209176,Volkswagen,아우디폭스바겐
2016-03-03,4.34132738427217,Volkswagen,아우디폭스바겐
2016-03-04,4.197962837937007,Volkswagen,아우디폭스바겐
2016-03-05,3.8278392579328973,Volkswagen,아우디폭스바겐
2016-03-06,3.832036868523792,Volkswagen,아우디폭스바겐
2016-03-07,4.772624534006517,Volkswagen,아우디폭스바겐
2016-03-08,4.721049696186926,Volkswagen,아우디폭스바겐
2016-03-09,4.355123726773711,Volkswagen,아우디폭스바겐
2016-03-10,4.034197317051693,Volkswagen,아우디폭스바겐
2016-03-11,3.649660962221505,Volkswagen,아우디폭스바겐
2016-03-12,3.4595062670619665,Volkswagen,아우디폭스바겐
2016-03-13,3.707253353685385,Volkswagen,아우디폭스바겐
2016-03-14,3.8626236533889102,Volkswagen,아우디폭스바겐
2016-03-15,3.7714503771978753,Volkswagen,아우디폭스바겐
2016-03-16,4.317315877535445,Volkswagen,아우디폭스바겐
2016-03-17,4.367129480142073,Volkswagen,아우디폭스바겐
2016-03-18,4.887809316934277,Volkswagen,아우디폭스바겐
2016-03-19,5.368332990870931,Volkswagen,아우디폭스바겐
2016-03-20,5.229136701206446,Volkswagen,아우디폭스바겐
2016-03-21,6.497901194704553,Volkswagen,아우디폭스바겐
2016-03-22,5.199753427070186,Volkswagen,아우디폭스바겐
2016-03-23,4.132562303695659,Volkswagen,아우디폭스바겐
2016-03-24,4.10858015087915,Volkswagen,아우디폭스바겐
2016-03-25,4.959198050899698,Volkswagen,아우디폭스바겐
2016-03-26,3.9825931253118854,Volkswagen,아우디폭스바겐
2016-03-27,4.0431796166378025,Volkswagen,아우디폭스바겐
2016-03-28,4.148149235330378,Volkswagen,아우디폭스바겐
2016-03-29,4.223148501482374,Volkswagen,아우디폭스바겐
2016-03-30,3.886018727801098,Volkswagen,아우디폭스바겐
2016-03-31,3.7810491091085217,Volkswagen,아우디폭스바겐
2016-04-01,3.8560190213403005,Volkswagen,아우디폭스바겐
2016-04-02,3.7336425279596095,Volkswagen,아우디폭스바겐
2016-04-03,3.8704317961663786,Volkswagen,아우디폭스바겐
2016-04-04,4.4972847623800165,Volkswagen,아우디폭스바겐
2016-04-05,3.9064197023512492,Volkswagen,아우디폭스바겐
2016-04-06,3.749229459594329,Volkswagen,아우디폭스바겐
2016-04-07,3.5758652067983685,Volkswagen,아우디폭스바겐
2016-04-08,3.4331170927877417,Volkswagen,아우디폭스바겐
2016-04-09,3.491883641060264,Volkswagen,아우디폭스바겐
2016-04-10,3.7498458919188664,Volkswagen,아우디폭스바겐
2016-04-11,3.8578096104734794,Volkswagen,아우디폭스바겐
2016-04-12,3.6562655942701148,Volkswagen,아우디폭스바겐
2016-04-13,3.555493586168433,Volkswagen,아우디폭스바겐
2016-04-14,3.3023160243050462,Volkswagen,아우디폭스바겐
2016-04-15,3.463703877652861,Volkswagen,아우디폭스바겐
2016-04-16,3.684445357677518,Volkswagen,아우디폭스바겐
2016-04-17,3.5674699856165795,Volkswagen,아우디폭스바겐
2016-04-18,3.962192150761735,Volkswagen,아우디폭스바겐
2016-04-19,3.7546305809140814,Volkswagen,아우디폭스바겐
2016-04-20,3.9406170194029415,Volkswagen,아우디폭스바겐
2016-04-21,4.650277394546042,Volkswagen,아우디폭스바겐
