period,ratio,title,sub_title
2016-01-01,1.5356634857165503,Volvo,볼보*
2016-01-02,1.9543687054399088,Volvo,볼보*
2016-01-03,1.6646482973036052,Volvo,볼보*
2016-01-04,1.6808539684077486,Volvo,볼보*
2016-01-05,1.6616537711213177,Volvo,볼보*
2016-01-06,1.5596637323245888,Volvo,볼보*
2016-01-07,1.671826352711147,Volvo,볼보*
2016-01-08,1.7156433167019696,Volvo,볼보*
2016-01-09,1.68622650067597,Volvo,볼보*
2016-01-10,1.588464028254235,Volvo,볼보*
2016-01-11,2.0467586455934224,Volvo,볼보*
2016-01-12,1.9028012030949306,Volvo,볼보*
2016-01-13,2.0239914391780904,Volvo,볼보*
2016-01-14,2.09837018508814,Volvo,볼보*
2016-01-15,2.5920706708179018,Volvo,볼보*
2016-01-16,2.301733742585245,Volvo,볼보*
2016-01-17,2.076175461619422,Volvo,볼보*
2016-01-18,1.8614062823397817,Volvo,볼보*
2016-01-19,1.898001153773323,Volvo,볼보*
2016-01-20,2.589076144635614,Volvo,볼보*
2016-01-21,3.41930852867479,Volvo,볼보*
2016-01-22,2.5104698323505708,Volvo,볼보*
2016-01-23,1.9094067755558586,Volvo,볼보*
2016-01-24,1.8326059864101356,Volvo,볼보*
2016-01-25,1.9316014990245771,Volvo,볼보*
2016-01-26,2.047991685786129,Volvo,볼보*
2016-01-27,2.5026752568466755,Volvo,볼보*
2016-01-28,2.573486993627824,Volvo,볼보*
2016-01-29,2.0245639221247043,Volvo,볼보*
2016-01-30,1.9478071701287203,Volvo,볼보*
2016-01-31,2.26452235105535,Volvo,볼보*
2016-02-01,2.4433131789978026,Volvo,볼보*
2016-02-02,2.2987392164029576,Volvo,볼보*
2016-02-03,2.019191389856483,Volvo,볼보*
2016-02-04,2.1181428653211847,Volvo,볼보*
2016-02-05,2.3821015408598694,Volvo,볼보*
2016-02-06,1.987396567744549,Volvo,볼보*
2016-02-07,1.9375905513891518,Volvo,볼보*
2016-02-08,2.2465111568118865,Volvo,볼보*
2016-02-09,2.076175461619422,Volvo,볼보*
2016-02-10,2.26452235105535,Volvo,볼보*
2016-02-11,2.3857125871385096,Volvo,볼보*
2016-02-12,2.6430656902162664,Volvo,볼보*
2016-02-13,2.9087858517445313,Volvo,볼보*
2016-02-14,2.6430656902162664,Volvo,볼보*
2016-02-15,2.1475596813471842,Volvo,볼보*
2016-02-16,2.336523090879466,Volvo,볼보*
2016-02-17,2.4109018367895154,Volvo,볼보*
2016-02-18,2.9201914735270673,Volvo,볼보*
2016-02-19,2.844007204477697,Volvo,볼보*
2016-02-20,2.6664494167279518,Volvo,볼보*
2016-02-21,3.4294811102646188,Volvo,볼보*
2016-02-22,2.623865492929835,Volvo,볼보*
2016-02-23,2.8104068592264433,Volvo,볼보*
2016-02-24,2.9130134181195255,Volvo,볼보*
2016-02-25,2.471496954831095,Volvo,볼보*
2016-02-26,2.5464922208374983,Volvo,볼보*
2016-02-27,2.7606448800207852,Volvo,볼보*
2016-02-28,3.082776630365376,Volvo,볼보*
2016-02-29,3.1283550803457794,Volvo,볼보*
2016-03-01,2.8236180041482997,Volvo,볼보*
2016-03-02,3.0275980817417567,Volvo,볼보*
2016-03-03,3.4426922551864747,Volvo,볼보*
2016-03-04,2.818201434730338,Volvo,볼보*
2016-03-05,2.330534038514891,Volvo,볼보*
2016-03-06,2.745628211959609,Volvo,볼보*
2016-03-07,2.4726859578740625,Volvo,볼보*
2016-03-08,2.250122203090527,Volvo,볼보*
2016-03-09,1.9286069728422897,Volvo,볼보*
2016-03-10,1.8494281776106323,Volvo,볼보*
2016-03-11,1.6796649653647815,Volvo,볼보*
2016-03-12,2.2309220058040964,Volvo,볼보*
2016-03-13,2.758222836785112,Volvo,볼보*
2016-03-14,2.4768694870993166,Volvo,볼보*
2016-03-15,2.312522844271427,Volvo,볼보*
2016-03-16,1.8529951867395333,Volvo,볼보*
2016-03-17,2.0485641687327427,Volvo,볼보*
2016-03-18,2.2759279728378856,Volvo,볼보*
2016-03-19,2.23514957217909,Volvo,볼보*
2016-03-20,3.8410082745804357,Volvo,볼보*
2016-03-21,2.6670659368243044,Volvo,볼보*
2016-03-22,1.967579850361765,Volvo,볼보*
2016-03-23,1.8854065289478203,Volvo,볼보*
2016-03-24,1.8056112136198095,Volvo,볼보*
2016-03-25,1.8812229997225658,Volvo,볼보*
2016-03-26,2.1649543554942947,Volvo,볼보*
2016-03-27,2.292706126888643,Volvo,볼보*
2016-03-28,1.8320335034635218,Volvo,볼보*
2016-03-29,1.9142068248774666,Volvo,볼보*
2016-03-30,1.8751899102082514,Volvo,볼보*
2016-03-31,2.3880905932244443,Volvo,볼보*
2016-04-01,2.64183265002356,Volvo,볼보*
2016-04-02,3.047987282071155,Volvo,볼보*
2016-04-03,3.5890717409206405,Volvo,볼보*
2016-04-04,3.455286880011978,Volvo,볼보*
2016-04-05,2.3725014422166537,Volvo,볼보*
2016-04-06,2.801423280679581,Volvo,볼보*
2016-04-07,2.682038567735742,Volvo,볼보*
2016-04-08,2.230349522857482,Volvo,볼보*
2016-04-09,2.5440701776018244,Volvo,볼보*
2016-04-10,4.094177848432938,Volvo,볼보*
2016-04-11,2.421690938475698,Volvo,볼보*
2016-04-12,2.2507387231868803,Volvo,볼보*
2016-04-13,2.35449024797319,Volvo,볼보*
2016-04-14,2.8590238725388732,Volvo,볼보*
2016-04-15,4.220124096687965,Volvo,볼보*
2016-04-16,3.469070507880448,Volvo,볼보*
2016-04-17,2.981403111665,Volvo,볼보*
2016-04-18,2.5182644078544656,Volvo,볼보*
2016-04-19,2.218327380978593,Volvo,볼보*
2016-04-20,2.3971182089210457,Volvo,볼보*
2016-04-21,2.523680977272427,Volvo,볼보*
2016-04-22,2.4054852673715543,Volvo,볼보*
2016-04-23,3.5674495003985363,Volvo,볼보*
2016-04-24,3.052787331392763,Volvo,볼보*
2016-04-25,2.6826550878320954,Volvo,볼보*
2016-04-26,2.2045437531101237,Volvo,볼보*
2016-04-27,2.5212589340367533,Volvo,볼보*
2016-04-28,3.0605819068966578,Volvo,볼보*
2016-04-29,2.437896609579841,Volvo,볼보*
2016-04-30,2.805034326958222,Volvo,볼보*
2016-05-01,2.517691924907852,Volvo,볼보*
2016-05-02,2.3629013435734385,Volvo,볼보*
2016-05-03,2.3089117979927867,Volvo,볼보*
2016-05-04,1.9819799983265882,Volvo,볼보*
2016-05-05,2.499064210568035,Volvo,볼보*
2016-05-06,2.4660803854131346,Volvo,볼보*
2016-05-07,2.547681223880465,Volvo,볼보*
2016-05-08,2.7246224915338577,Volvo,볼보*
2016-05-09,3.0953712551908787,Volvo,볼보*
2016-05-10,2.6646438935886314,Volvo,볼보*
2016-05-11,2.5740594765744382,Volvo,볼보*
2016-05-12,2.437896609579841,Volvo,볼보*
2016-05-13,2.097753664991787,Volvo,볼보*
2016-05-14,2.4600913330485596,Volvo,볼보*
2016-05-15,2.9105913748838517,Volvo,볼보*
2016-05-16,3.707223413671773,Volvo,볼보*
2016-05-17,3.364129980051171,Volvo,볼보*
2016-05-18,3.572866069816497,Volvo,볼보*
2016-05-19,2.926180525891642,Volvo,볼보*
2016-05-20,3.414508479353182,Volvo,볼보*
2016-05-21,2.728850057908852,Volvo,볼보*
2016-05-22,3.1559663732324585,Volvo,볼보*
2016-05-23,2.776806513975189,Volvo,볼보*
2016-05-24,2.783412086436117,Volvo,볼보*
2016-05-25,2.3581012942518305,Volvo,볼보*
2016-05-26,2.3503067187479356,Volvo,볼보*
2016-05-27,2.685649614014382,Volvo,볼보*
2016-05-28,2.802612283722548,Volvo,볼보*
2016-05-29,2.987392164029575,Volvo,볼보*
2016-05-30,2.3274954751828645,Volvo,볼보*
2016-05-31,2.0635808367939195,Volvo,볼보*
2016-06-01,2.148748684390151,Volvo,볼보*
2016-06-02,2.6844606109714153,Volvo,볼보*
2016-06-03,2.1157648592352505,Volvo,볼보*
2016-06-04,2.560275848705968,Volvo,볼보*
2016-06-05,2.688027620100317,Volvo,볼보*
2016-06-06,2.931597095309603,Volvo,볼보*
2016-06-07,2.322122942914642,Volvo,볼보*
2016-06-08,2.3335285646971786,Volvo,볼보*
2016-06-09,2.5860816184533273,Volvo,볼보*
2016-06-10,3.081587627322409,Volvo,볼보*
2016-06-11,3.148744280675177,Volvo,볼보*
2016-06-12,3.4642704585588397,Volvo,볼보*
2016-06-13,2.4360910864405207,Volvo,볼보*
2016-06-14,2.7138333898476756,Volvo,볼보*
2016-06-15,2.4858971027959185,Volvo,볼보*
2016-06-16,3.2753070490265586,Volvo,볼보*
2016-06-17,3.559654924894641,Volvo,볼보*
2016-06-18,4.046793875313214,Volvo,볼보*
2016-06-19,3.715062026325408,Volvo,볼보*
2016-06-20,2.8326015826951614,Volvo,볼보*
2016-06-21,2.364706866712759,Volvo,볼보*
2016-06-22,3.0323981310633648,Volvo,볼보*
2016-06-23,2.952602815735354,Volvo,볼보*
2016-06-24,2.3845235840955428,Volvo,볼보*
2016-06-25,2.4289130310329794,Volvo,볼보*
2016-06-26,2.6148378772332337,Volvo,볼보*
2016-06-27,2.1889546021023336,Volvo,볼보*
2016-06-28,2.3941236827387584,Volvo,볼보*
2016-06-29,2.116953862278218,Volvo,볼보*
2016-06-30,2.1877655990593663,Volvo,볼보*
2016-07-01,1.9417740806144062,Volvo,볼보*
2016-07-02,2.2909446408990624,Volvo,볼보*
2016-07-03,2.2819170252024605,Volvo,볼보*
2016-07-04,2.0239914391780904,Volvo,볼보*
2016-07-05,1.868628374897063,Volvo,볼보*
2016-07-06,2.3131393643677804,Volvo,볼보*
2016-07-07,2.4600913330485596,Volvo,볼보*
2016-07-08,1.9064122493735716,Volvo,볼보*
2016-07-09,2.311906324175074,Volvo,볼보*
2016-07-10,2.328111995279217,Volvo,볼보*
2016-07-11,2.39949621500698,Volvo,볼보*
2016-07-12,2.830223576609227,Volvo,볼보*
2016-07-13,2.1553542568510795,Volvo,볼보*
2016-07-14,2.6244379758764493,Volvo,볼보*
2016-07-15,2.1499376874331184,Volvo,볼보*
2016-07-16,2.2813445422558467,Volvo,볼보*
2016-07-17,2.9039858024229237,Volvo,볼보*
2016-07-18,5.133146322237439,Volvo,볼보*
2016-07-19,3.7282291340975244,Volvo,볼보*
2016-07-20,3.046754241878449,Volvo,볼보*
2016-07-21,4.202729422540855,Volvo,볼보*
2016-07-22,3.641872283458325,Volvo,볼보*
2016-07-23,4.123550627309197,Volvo,볼보*
2016-07-24,3.519493044332198,Volvo,볼보*
2016-07-25,3.2627124242010557,Volvo,볼보*
2016-07-26,3.4642704585588397,Volvo,볼보*
