,date,Mercedes-Benz_메르세데스벤츠코리아_x,ASTON MARTIN_기흥애스턴마틴밴티지,ASTON MARTIN_기흥인터내셔널애스턴마틴,Nissan_닛산엑스트레일,Nissan_닛산알티마,Nissan_닛산인피니티Q30,Nissan_닛산인피니티Q50,Nissan_닛산인피니티QX50,Mercedes-Benz_더클래스효성,Mercedes-Benz_더클래스효성벤츠E클래스,Mercedes-Benz_더클래스효성벤츠GLE쿠페,Mercedes-Benz_더클래스효성벤츠S클래스,BMW_도이치모터스,BMW_도이치모터스BMW,Lincoln_링컨컨티넨탈,Lincoln_링컨에비에이터,Mercedes-Benz_메르세데스벤츠,Mercedes-Benz_벤츠E클래스,Mercedes-Benz_벤츠EQ,Mercedes-Benz_벤츠GLA클래스,Mercedes-Benz_벤츠S350DAMG,Mercedes-Benz_벤츠S클래스,Mercedes-Benz_벤츠SUV,Mercedes-Benz_벤츠C클래스,Mercedes-Benz_벤츠C클래스카브리올레,Mercedes-Benz_벤츠C클래스쿠페,Mercedes-Benz_벤츠CLS,Mercedes-Benz_메르세데스벤츠코리아_y,Volvo_볼보*,Volvo_볼보S60*,Volvo_볼보S90,Volvo_볼보크로스컨트리*,Volvo_볼보XC40,Volvo_볼보XC60,Volvo_볼보XC90,Volvo_볼보자동차코리아,비워크,비워크지프,Audi_아우디A3스포트백,Audi_아우디A5,Audi_아우디A6,Audi_아우디A6아반트,Audi_아우디A6아반트&A4,Audi_아우디A7,Audi_아우디A8,Audi_아우디A4,Audi_아우디A4&A5*,Audi_아우디Q,Audi_아우디Q7,Audi_아우디Q8,Audi_아우디코리아,Audi_아우디코리아아우디,Volkswagen_아우디폭스바겐,Volkswagen_아우디폭스바겐티록,Volkswagen_아우디폭스바겐제타,Volkswagen_아우디폭스바겐티구안,Audi_아우디폭스바겐코리아,Jaguar_재규어E-PACE,Jaguar_재규어F-PACE,Jaguar_재규어XE,Jaguar_재규어XF,Jaguar_재규어XJ,Land Rover_재규어랜드로버레인지로버,Land Rover_재규어랜드로버레인지로버벨라,Land Rover_재규어랜드로버레인지로버스포츠,Land Rover_재규어랜드로버레인지로버이보크,Land Rover_재규어랜드로버레인지로버이보크컨버터블,Land Rover_재규어랜드로버디펜더,Land Rover_재규어랜드로버디스커버리,Land Rover_재규어랜드로버디스커버리스포츠,Land Rover_재규어랜드로버코리아,Cadillac_지엠캐딜락XT6,Cadillac_지엠캐딜락CT6,Cadillac_지엠캐딜락XT5,GM_지엠코리아,Cadillac_지엠코리아캐딜락,Cadillac_캐딜락코리아,Cadillac_캐딜락*,Cadillac_캐딜락에스컬레이드플래티넘,Cadillac_캐딜락CT6,Cadillac_캐딜락XT5,Cadillac_캐딜락에스컬레이드,Chrysler_크라이슬러피아트500X,Chrysler_크라이슬러지프,Chrysler_크라이슬러지프레니게이드,Chrysler_크라이슬러지프랭글러,Chrysler_크라이슬러지프컴패스,Ford_포드레인저,Ford_포드몬데오,Ford_포드익스플로러,Ford_포드쿠가,Ford_포드포커스,Ford_포드링컨MKZ,Ford_포드세일즈서비스코리아,Porsche_포르쉐파나메라*,Porsche_포르쉐코리아,Volkswagen_폭스바겐골프,Volkswagen_폭스바겐파사트,Volkswagen_폭스바겐파사트GT,Volkswagen_폭스바겐아테온,Volkswagen_폭스바겐투아렉,Nissan_한국닛산,Lexus_한국토요타렉서스ES300H,Toyota_한국토요타자동차,Lexus_한국토요타렉서스GS450H,Lexus_한국토요타렉서스GSF,Lexus_한국토요타렉서스SUV,Lexus_한국토요타자동차렉서스,Toyota_한국토요타프리우스,Toyota_한국토요타프리우스C,Toyota_한국토요타GR수프라,Citroen_한불모터스시트로엥,한불모터스DS7크로스백,Honda_혼다코리아,BMW_BMW코리아,BMW_BMW3시리즈,BMW_BMW6시리즈그란투리스모,MINI_BMW미니컨버터블,MINI_BMW미니컨트리맨,MINI_BMW미니쿠퍼,MINI_BMW미니클럽맨,MINI_BMW미니JCW클럽맨&컨트리맨,BMW_BMW코리아5시리즈,BMW_BMW코리아7시리즈,BMW_BMWI8,BMW_BMWM5,BMW_BMWX,BMW_BMWX3,BMW_BMWX5,BMW_BMWX6,BMW_BMWX7,BMW_BMWX드라이브,BMW_BMWX레인지,Chrysler_FCA지프,Maserati_FMK마세라티,Maserati_FMK마세라티그란투리스모,Citroen_한불모터스시트로엥C4칵투스,Citroen_한불모터스시트로엥C5에어크로스,Citroen_한불모터스시트로엥그랜드C4스페이스투어러,Citroen_한불모터스시트로엥그랜드C4피카소,Toyota_한국토요타RAV4,Toyota_한국토요타시에나,Toyota_한국토요타아발론,Toyota_한국토요타캠리,Toyota_한국토요타캠리&프리우스,Toyota_한국토요타프리우스프라임,Maserati_FMK마세라티기블리,Maserati_FMK마세라티르반떼,Maserati_FMK마세라티르반떼트로페오,Maserati_FMK마세라티르반떼GTS,Maserati_FMK마세라티SUV,Lexus_한국토요타렉서스RX450HL,Lexus_한국토요타렉서스RX,Lexus_한국토요타렉서스NX,Lexus_한국토요타렉서스LC500H,Lexus_한국토요타렉서스LS,Lexus_한국토요타렉서스LS500,Lexus_한국토요타렉서스LS500H,Lexus_한국토요타렉서스UX,Lexus_한국토요타렉서스UX250H,Chrysler_FCA지프체로키&그랜드체로키,Peugeot_한불모터스푸조2008,Peugeot_한불모터스푸조3008,Peugeot_한불모터스푸조308GT,Peugeot_한불푸조308,Peugeot_한불모터스푸조5008,Peugeot_한불모터스푸조508,Peugeot_한불모터스푸조SUV,Honda_혼다CR-V,Honda_혼다CR-V&파일럿,Honda_혼다ACCORD,Honda_혼다파일럿
0,2016-01-01,5679.6,16820.8,16820.8,8.0,,2689.1,4491.2,332.0,10089.5,9526.4,1602.3,7311.5,7164.2,7164.2,659.9,179.6,10089.5,9526.4,,1133.1,1249.2,7311.5,1260.3,6688.9,6688.9,3765.4,3765.4,5679.6,1454.1,216.2,291.3,74.2,1.5,490.9,1503.7,1344.1,,,141.6,206.9,633.4,4966.8,4966.8,3723.3,2552.8,8070.4,8070.4,136.2,2300.6,77.5,5409.4,5409.4,5103.5,,1201.9,9.0,4095.6,,701.3,2531.7,1831.4,1135.1,10094.5,,3176.5,4432.7,4432.7,352.1,4189.6,4189.6,10094.5,1746.6,990.9,1746.6,605.4,1774.9,1774.9,1746.6,1038.3,990.9,244.2,28.2,954.6,3858.6,,1420.7,32.3,695.2,1272.4,1868.7,352.1,520.6,1940.4,2016.1,3602.3,7902.9,3807.1,2683.1,,,,1392.5,26.2,1253.2,129.1,559.0,258.3,4299.5,2643.7,38.3,,155.4,,2090.7,7164.2,1754.7,40.3,117.0,253.2,312.8,204.8,127.1,216.9,38.3,755.8,289.6,2231.0,2590.2,3244.1,3530.7,71.6,13.1,,3858.6,10610.1,1171.5,170.5,22.2,,,881.9,,,623.6,623.6,623.6,3188.6,159.4,159.4,159.4,159.4,,116.0,186.6,,,,,,,,1817.3,819.3,1000.0,1000.0,35.3,943.5,943.5,351.1,351.1,4807.1,901.1
1,2016-01-02,5491.0,6104.7,6104.7,8.0,,1468.1,4852.5,225.0,9754.5,10197.4,1513.6,7886.7,7682.9,7682.9,384.4,248.2,9754.5,10197.4,,1190.6,1586.2,7886.7,1237.1,7275.2,7275.2,4095.4,4095.4,5491.0,1850.6,254.5,282.4,97.0,2.4,582.8,1291.6,1710.5,,,162.5,255.9,700.1,5490.0,5490.0,4070.5,2774.8,7500.2,7500.2,127.1,2693.1,93.7,5761.3,5761.3,5435.0,,1462.0,10.3,4362.0,,667.0,2590.2,2008.0,1311.7,10514.3,,3068.5,4471.1,4471.1,377.4,3808.1,3808.1,10514.3,1519.6,478.3,1525.6,644.8,1547.9,1547.9,1519.6,969.7,478.3,262.3,46.4,1129.1,4155.2,,1326.9,33.3,767.9,1090.8,1808.2,332.0,424.8,2123.0,2159.3,3766.7,7881.7,3156.3,2948.4,,,,1577.1,34.3,1474.2,130.1,232.0,366.3,4935.3,2293.6,16.1,,157.4,,2512.5,7682.9,1565.0,19.1,112.0,269.4,355.2,225.0,170.5,247.2,49.4,909.1,369.3,2539.7,2778.9,3343.0,4055.3,88.8,12.1,,4155.2,9888.6,1460.1,150.3,26.2,,,1019.1,,5.0,671.0,671.0,671.0,3623.5,150.3,150.3,150.3,150.3,,91.8,239.1,,,,,,,,1977.7,918.2,909.1,909.1,27.2,1063.5,1063.5,454.0,454.0,6416.5,774.9
2,2016-01-03,5444.4,2748.6,2748.6,14.1,,2066.5,4185.5,311.8,9671.7,9853.3,1815.2,7670.8,7902.9,7902.9,492.4,212.9,9671.7,9853.3,,1264.3,1332.9,7670.8,1283.5,7270.2,7270.2,4092.5,4092.5,5444.4,1576.2,237.6,259.7,83.5,3.5,527.1,1619.2,1456.9,,,157.4,259.4,664.3,5209.5,5209.5,3839.2,2474.6,9137.9,9137.9,140.2,2550.8,83.5,5665.9,5665.9,5419.6,,1261.3,3.2,4289.8,,638.7,2578.1,2072.6,1335.0,9995.6,,2750.7,4274.3,4274.3,293.6,3458.0,3458.0,9995.6,1451.0,771.9,1451.0,694.2,1496.4,1496.4,1451.0,980.8,771.9,237.1,28.2,2208.8,4056.3,,1260.3,26.2,672.0,1133.1,1793.1,1211.8,401.6,2102.8,2166.4,3586.2,7392.3,3732.4,2898.0,,,,1784.0,39.3,1586.2,192.7,79.7,344.1,4801.0,2159.3,26.2,,139.2,,2162.4,7902.9,1679.1,42.4,116.0,271.4,318.8,236.1,143.3,294.6,30.2,720.5,322.9,2733.5,2750.7,3492.3,3751.6,76.7,7.0,,4056.3,8419.5,1305.7,188.7,30.2,,,908.1,,5.0,718.4,718.4,718.4,3132.1,147.3,147.3,147.3,147.3,,109.0,220.0,,,,,,,,1936.3,855.6,976.7,976.7,33.3,951.5,951.5,419.7,419.7,5063.4,739.6
3,2016-01-04,5738.6,2379.3,2379.3,14.1,,2695.2,4822.2,324.9,10194.4,10975.4,1681.1,6758.6,8433.6,8433.6,508.5,193.7,10194.4,10975.4,,1176.5,1175.5,6758.6,1258.3,7298.4,7298.4,4108.5,4108.5,5738.6,1591.6,229.7,269.5,80.3,2.8,497.7,1460.6,1471.1,,,183.8,304.2,710.2,5569.7,5569.7,3798.3,2642.3,10174.2,10174.2,197.7,2489.3,101.4,5982.0,5982.0,6325.5,,1472.3,,4529.1,,703.3,2763.7,2172.5,1385.4,9451.7,,2565.0,4409.5,4409.5,324.9,3769.8,3769.8,9451.7,1591.2,800.1,1591.2,1020.1,1637.6,1637.6,1591.2,835.5,800.1,271.4,19.1,2094.8,4014.0,,1207.8,42.4,869.8,1136.2,1946.4,659.9,399.6,2044.3,2079.6,2994.8,7116.8,4238.0,3017.0,,,,1712.3,54.5,1637.6,186.6,71.6,338.0,5029.1,2047.3,60.5,,142.3,,2410.6,8433.6,1801.1,40.3,123.1,283.5,378.4,352.1,207.8,342.0,25.2,673.0,368.3,2858.6,2760.7,3597.2,3566.0,62.5,13.1,,4014.0,7377.1,1178.6,231.0,47.4,,,1160.4,,,718.4,718.4,718.4,3566.0,249.2,249.2,249.2,249.2,,157.4,270.4,,,,,,,,6501.3,1413.6,1135.1,1135.1,76.7,1226.0,1226.0,407.6,407.6,4976.6,760.8
4,2016-01-05,5701.2,1090.8,1090.8,12.1,,1924.2,4560.9,278.5,10127.8,12394.1,1644.7,6506.3,8047.1,8047.1,811.2,219.0,10127.8,12394.1,,1154.3,1138.2,6506.3,1151.3,7745.4,7745.4,4360.1,4360.1,5701.2,1573.4,215.1,344.8,78.9,1.3,480.9,1328.8,1454.3,,,164.3,286.8,660.1,5176.4,5176.4,3550.0,2578.6,12205.4,12205.4,150.3,2301.6,98.8,5873.8,5873.8,6761.7,,1407.8,3.2,4447.2,,663.9,2334.9,1949.5,1356.1,8463.9,,2372.2,4363.1,4363.1,349.1,3249.1,3249.1,8463.9,1625.6,639.7,1620.5,1013.1,1680.1,1680.1,1620.5,836.5,639.7,252.2,30.2,1518.6,3461.0,,1309.7,41.4,774.9,1068.6,1749.6,449.0,374.3,1976.7,2054.4,2455.0,6545.7,4797.0,2601.3,,,,1559.0,54.5,1466.1,128.1,67.6,346.1,4821.2,3191.6,72.6,,147.3,,2532.7,8047.1,1623.6,50.4,130.1,274.5,360.2,305.7,162.5,368.3,32.3,689.1,350.1,2659.8,2489.3,3085.7,3447.9,77.7,15.1,,3461.0,7194.5,1108.9,170.5,42.4,,,1165.4,,5.0,589.3,589.3,589.3,3051.3,237.1,237.1,237.1,237.1,,133.2,236.1,,,,,,,,4812.1,1245.1,906.1,906.1,77.7,1064.5,1064.5,835.5,835.5,5270.3,745.7
5,2016-01-06,5755.1,1122.1,1122.1,11.1,,1666.9,4542.7,284.5,10223.6,13414.2,1546.8,6517.4,8465.9,8465.9,642.7,220.0,10223.6,13414.2,,1051.4,1151.3,6517.4,1076.6,8022.9,8022.9,4516.3,4516.3,5755.1,1476.8,216.7,275.6,76.3,,449.4,1118.8,1365.1,,,167.7,252.6,635.1,4980.8,4980.8,3658.1,2238.1,8205.5,8205.5,147.3,2230.0,95.4,6156.8,6156.8,6846.1,,1216.8,,4661.4,,688.1,2221.9,1998.9,1488.3,8485.1,,2368.2,4026.1,4026.1,418.7,2927.2,2927.2,8485.1,1500.4,553.0,1507.5,948.5,1578.1,1578.1,1500.4,892.0,553.0,266.4,32.3,1244.1,3614.4,,1095.8,23.2,628.6,1120.0,1868.7,400.6,341.0,2040.3,2021.1,2423.7,6913.0,4561.9,2717.3,,,,1514.6,48.4,1515.6,151.3,78.7,398.5,5271.3,3836.4,142.3,,139.2,,2592.2,8465.9,1509.5,48.4,110.0,313.8,348.1,377.4,184.6,327.9,32.3,880.9,346.1,2853.6,2860.6,3624.5,3673.9,61.5,14.1,,3614.4,6716.2,1145.2,192.7,18.1,,,1179.6,,5.0,568.1,568.1,568.1,2682.0,191.7,191.7,191.7,191.7,,165.5,291.6,,,,,,,,3232.0,1181.6,1197.7,1197.7,65.5,1076.6,1076.6,946.5,946.5,5032.1,886.9
6,2016-01-07,5673.3,962.6,962.6,,,4097.7,6150.1,520.6,10078.4,10772.6,1718.4,5769.7,8817.0,8817.0,485.3,260.3,10078.4,10772.6,,1062.5,1058.5,5769.7,1019.1,7117.8,7117.8,4006.8,4006.8,5673.3,1583.0,219.9,228.8,75.7,2.6,431.0,1419.7,1463.2,,,162.1,233.8,660.9,5183.1,5183.1,3475.4,2248.4,7913.9,7913.9,128.1,2258.2,75.0,6086.9,6086.9,6814.6,,1191.6,7.7,4608.5,,833.5,2208.8,1866.7,1305.7,8793.8,,2298.6,4134.1,4134.1,584.2,2913.1,2913.1,8793.8,1431.8,826.4,1431.8,972.7,1508.5,1508.5,1431.8,852.6,826.4,265.4,27.2,1125.1,3915.1,,1172.5,27.2,657.9,1097.8,1794.1,339.0,307.7,2078.6,1882.9,3502.4,6418.5,4790.9,2587.2,,,,1578.1,148.3,1454.0,249.2,90.8,348.1,6016.9,4734.4,127.1,,154.4,,2264.3,8817.0,1609.4,40.3,113.0,312.8,367.3,327.9,181.6,307.7,29.2,1387.4,328.9,2708.2,2930.2,3548.8,3808.1,76.7,14.1,,3915.1,7006.8,1369.2,302.7,38.3,7.0,7.0,1117.0,,15.1,608.4,608.4,608.4,2859.6,324.9,324.9,324.9,324.9,,191.7,237.1,,,,,,,,2726.4,1088.7,957.6,957.6,35.3,1055.5,1055.5,439.9,439.9,4699.1,820.3
7,2016-01-08,5363.2,780.0,780.0,5.0,,6153.2,6736.4,666.0,9527.4,10227.7,1692.1,5981.6,7906.9,7906.9,634.7,191.7,9527.4,10227.7,,1107.9,1025.2,5981.6,1067.6,7185.4,7185.4,4044.8,4044.8,5363.2,1624.5,189.5,296.7,89.2,,506.1,2192.0,1501.5,,,144.7,220.0,585.1,4588.5,4588.5,3293.8,2163.6,6864.5,6864.5,115.0,2251.1,77.5,5688.1,5688.1,5816.7,,1109.0,4.5,4306.5,,1081.7,2045.3,1916.1,1280.5,8872.5,,2340.0,3936.3,3936.3,360.2,3051.3,3051.3,8872.5,1569.1,782.0,1569.1,862.7,1639.7,1639.7,1569.1,904.1,782.0,408.6,35.3,1055.5,4437.8,,2229.0,37.3,646.8,1142.2,1711.3,275.5,318.8,1950.5,2051.4,3605.3,6174.3,4557.8,2352.1,,,,1528.7,53.5,1701.2,135.2,43.4,338.0,4555.8,4512.4,99.9,,165.5,,2228.0,7906.9,1745.6,40.3,123.1,310.8,401.6,339.0,158.4,352.1,18.1,1007.0,324.9,2715.3,2822.3,3419.7,3671.9,66.6,16.1,,4437.8,6281.3,1082.7,790.1,48.4,,,1039.3,5.0,11.1,906.1,906.1,906.1,2601.3,432.9,432.9,432.9,432.9,,118.0,158.4,,,,,,,,2501.4,959.6,1001.0,1001.0,46.4,1028.2,1028.2,417.7,417.7,4697.1,944.5
8,2016-01-09,5825.5,2658.8,2658.8,9.0,,2721.4,5624.4,445.0,10348.8,10573.8,1729.5,6717.2,8154.1,8154.1,592.3,164.5,10348.8,10573.8,,1043.3,1829.4,6717.2,1301.6,7819.1,7819.1,4401.6,4401.6,5825.5,1596.7,197.7,305.0,94.8,,528.7,2655.6,1475.8,,,148.5,212.6,653.6,5125.7,5125.7,3608.4,2215.3,6629.4,6629.4,108.0,2292.6,112.5,5446.9,5446.9,5625.9,,1149.0,9.7,4124.0,,882.9,2473.2,2143.2,1287.5,9845.3,,2622.5,4082.6,4082.6,400.6,3333.9,3333.9,9845.3,1628.6,648.8,1628.6,663.9,1661.9,1661.9,1628.6,1059.5,648.8,380.4,26.2,1097.8,4229.9,,1462.1,27.2,641.7,1040.3,1638.7,295.6,279.5,2860.6,2091.7,2795.1,6779.8,4850.5,2712.3,,,,1635.6,47.4,1680.1,117.0,63.5,387.5,4761.7,3363.2,75.6,,173.5,,2301.6,8154.1,1604.4,38.3,130.1,242.1,356.2,237.1,154.4,279.5,19.1,873.8,342.0,2716.3,2710.3,4097.7,4042.2,62.5,15.1,,4229.9,7442.7,1211.8,1049.4,32.3,6.0,6.0,1117.0,,11.1,871.8,871.8,871.8,2903.0,346.1,346.1,346.1,346.1,,105.9,211.9,,,,,,,,2368.2,997.9,1046.4,1046.4,36.3,1184.6,1184.6,424.8,424.8,4973.6,948.5
9,2016-01-10,5738.6,1744.6,1744.6,7.0,,2526.6,5574.0,440.9,10194.4,11969.3,1692.1,6127.9,7915.9,7915.9,558.0,216.9,10194.4,11969.3,,1000.0,1355.1,6127.9,1238.1,8546.6,8546.6,4811.1,4811.1,5738.6,1504.1,201.0,323.7,83.9,1.3,528.1,1702.1,1390.3,,,151.5,235.0,730.5,5729.1,5729.1,3552.0,2077.7,7497.2,7497.2,107.0,2513.5,112.5,5562.8,5562.8,5596.0,,1307.8,7.7,4211.7,,957.6,3201.7,2763.7,1843.5,11533.4,,3055.4,4964.5,4964.5,457.1,3847.5,3847.5,11533.4,1937.3,929.3,1937.3,650.8,1972.6,1972.6,1937.3,2831.4,929.3,360.2,25.2,1158.4,4781.8,,1875.8,30.2,804.2,1213.9,1702.2,322.9,341.0,2259.2,2216.9,2695.2,6611.3,5090.6,2941.3,,,,1534.7,53.5,1583.2,111.0,51.5,337.0,4582.1,3180.5,38.3,,163.5,,2231.0,7915.9,1731.5,19.1,135.2,271.4,306.7,237.1,124.1,284.5,9.0,802.2,412.7,2635.6,2769.8,3297.6,3612.4,70.6,11.1,,4781.8,6980.6,1203.8,432.9,39.3,,,1109.9,,18.1,711.4,711.4,711.4,2853.6,343.0,343.0,343.0,343.0,,101.9,199.8,,,,,,,,2177.5,968.6,1153.3,1153.3,42.4,997.9,997.9,319.9,319.9,4740.5,748.7
