,date,Mercedes-Benz,ASTON MARTIN,ASTON MARTIN,Nissan,Nissan,Nissan,Nissan,Nissan,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,BMW,BMW,Lincoln,Lincoln,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Volvo,Volvo,Volvo,Volvo,Volvo,Honda,Honda,Honda
index,date,Mercedes-Benz,ASTON MARTIN,ASTON MARTIN,Nissan,Nissan,Nissan,Nissan,Nissan,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,BMW,BMW,Lincoln,Lincoln,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Volvo,Volvo,Volvo,Volvo,Volvo,Honda,Honda,Honda
0,2016-01-01,5679.6,16820.8,16820.8,,,332.0,332.0,332.0,10089.5,7311.5,7311.5,7311.5,7164.2,7164.2,179.6,179.6,10089.5,1249.2,1249.2,1249.2,1249.2,6688.9,6688.9,6688.9,6688.9,5679.6,5679.6,5679.6,1454.1,1.5,1.5,1.5,1.5,901.1,901.1,901.1
1,2016-01-02,5491.0,6104.7,6104.7,,,225.0,225.0,225.0,9754.5,7886.7,7886.7,7886.7,7682.9,7682.9,248.2,248.2,9754.5,1586.2,1586.2,1586.2,1586.2,7275.2,7275.2,7275.2,7275.2,5491.0,5491.0,5491.0,1850.6,2.4,2.4,2.4,2.4,774.9,774.9,774.9
2,2016-01-03,5444.4,2748.6,2748.6,,,311.8,311.8,311.8,9671.7,7670.8,7670.8,7670.8,7902.9,7902.9,212.9,212.9,9671.7,1332.9,1332.9,1332.9,1332.9,7270.2,7270.2,7270.2,7270.2,5444.4,5444.4,5444.4,1576.2,3.5,3.5,3.5,3.5,739.6,739.6,739.6
3,2016-01-04,5738.6,2379.3,2379.3,,,324.9,324.9,324.9,10194.4,6758.6,6758.6,6758.6,8433.6,8433.6,193.7,193.7,10194.4,1175.5,1175.5,1175.5,1175.5,7298.4,7298.4,7298.4,7298.4,5738.6,5738.6,5738.6,1591.6,2.8,2.8,2.8,2.8,760.8,760.8,760.8
4,2016-01-05,5701.2,1090.8,1090.8,,,278.5,278.5,278.5,10127.8,6506.3,6506.3,6506.3,8047.1,8047.1,219.0,219.0,10127.8,1138.2,1138.2,1138.2,1138.2,7745.4,7745.4,7745.4,7745.4,5701.2,5701.2,5701.2,1573.4,1.3,1.3,1.3,1.3,745.7,745.7,745.7
5,2016-01-06,5755.1,1122.1,1122.1,,,284.5,284.5,284.5,10223.6,6517.4,6517.4,6517.4,8465.9,8465.9,220.0,220.0,10223.6,1151.3,1151.3,1151.3,1151.3,8022.9,8022.9,8022.9,8022.9,5755.1,5755.1,5755.1,1476.8,,,,,886.9,886.9,886.9
6,2016-01-07,5673.3,962.6,962.6,,,520.6,520.6,520.6,10078.4,5769.7,5769.7,5769.7,8817.0,8817.0,260.3,260.3,10078.4,1058.5,1058.5,1058.5,1058.5,7117.8,7117.8,7117.8,7117.8,5673.3,5673.3,5673.3,1583.0,2.6,2.6,2.6,2.6,820.3,820.3,820.3
7,2016-01-08,5363.2,780.0,780.0,,,666.0,666.0,666.0,9527.4,5981.6,5981.6,5981.6,7906.9,7906.9,191.7,191.7,9527.4,1025.2,1025.2,1025.2,1025.2,7185.4,7185.4,7185.4,7185.4,5363.2,5363.2,5363.2,1624.5,,,,,944.5,944.5,944.5
8,2016-01-09,5825.5,2658.8,2658.8,,,445.0,445.0,445.0,10348.8,6717.2,6717.2,6717.2,8154.1,8154.1,164.5,164.5,10348.8,1829.4,1829.4,1829.4,1829.4,7819.1,7819.1,7819.1,7819.1,5825.5,5825.5,5825.5,1596.7,,,,,948.5,948.5,948.5
9,2016-01-10,5738.6,1744.6,1744.6,,,440.9,440.9,440.9,10194.4,6127.9,6127.9,6127.9,7915.9,7915.9,216.9,216.9,10194.4,1355.1,1355.1,1355.1,1355.1,8546.6,8546.6,8546.6,8546.6,5738.6,5738.6,5738.6,1504.1,1.3,1.3,1.3,1.3,748.7,748.7,748.7
10,2016-01-11,5990.3,1214.9,1214.9,,,282.5,282.5,282.5,10641.4,6222.8,6222.8,6222.8,8640.5,8640.5,298.6,298.6,10641.4,1422.7,1422.7,1422.7,1422.7,7711.1,7711.1,7711.1,7711.1,5990.3,5990.3,5990.3,1938.0,3.9,3.9,3.9,3.9,624.6,624.6,624.6
11,2016-01-12,6059.0,2072.6,2072.6,,,275.5,275.5,275.5,10763.5,6150.1,6150.1,6150.1,8902.8,8902.8,251.2,251.2,10763.5,1368.2,1368.2,1368.2,1368.2,8420.5,8420.5,8420.5,8420.5,6059.0,6059.0,6059.0,1801.7,1.5,1.5,1.5,1.5,549.9,549.9,549.9
12,2016-01-13,6018.1,1291.6,1291.6,,,296.6,296.6,296.6,10690.8,6515.4,6515.4,6515.4,9338.7,9338.7,229.0,229.0,10690.8,1218.9,1218.9,1218.9,1218.9,8230.8,8230.8,8230.8,8230.8,6018.1,6018.1,6018.1,1916.5,1.5,1.5,1.5,1.5,613.5,613.5,613.5
13,2016-01-14,5655.2,1725.5,1725.5,,,307.7,307.7,307.7,10046.0,6420.5,6420.5,6420.5,8268.1,8268.1,521.6,521.6,10046.0,1261.3,1261.3,1261.3,1261.3,6681.9,6681.9,6681.9,6681.9,5655.2,5655.2,5655.2,1986.9,,,,,557.0,557.0,557.0
14,2016-01-15,5735.8,1044.3,1044.3,,,216.9,216.9,216.9,10189.4,5767.7,5767.7,5767.7,8092.5,8092.5,301.7,301.7,10189.4,1218.9,1218.9,1218.9,1218.9,6416.5,6416.5,6416.5,6416.5,5735.8,5735.8,5735.8,2454.4,3.0,3.0,3.0,3.0,466.1,466.1,466.1
15,2016-01-16,5963.0,1063.5,1063.5,,,257.3,257.3,257.3,10593.0,6898.9,6898.9,6898.9,7738.4,7738.4,233.1,233.1,10593.0,1247.1,1247.1,1247.1,1247.1,6999.8,6999.8,6999.8,6999.8,5963.0,5963.0,5963.0,2179.5,1.1,1.1,1.1,1.1,508.5,508.5,508.5
16,2016-01-17,5852.3,1077.6,1077.6,,,301.7,301.7,301.7,10396.2,7123.9,7123.9,7123.9,8087.5,8087.5,472.2,472.2,10396.2,1406.6,1406.6,1406.6,1406.6,7674.8,7674.8,7674.8,7674.8,5852.3,5852.3,5852.3,1965.9,3.0,3.0,3.0,3.0,556.0,556.0,556.0
17,2016-01-18,5973.8,947.5,947.5,,,283.5,283.5,283.5,10612.1,6772.7,6772.7,6772.7,8315.5,8315.5,426.8,426.8,10612.1,1398.5,1398.5,1398.5,1398.5,6773.7,6773.7,6773.7,6773.7,5973.8,5973.8,5973.8,1762.5,4.5,4.5,4.5,4.5,519.6,519.6,519.6
18,2016-01-19,6623.6,1268.4,1268.4,,,297.6,297.6,297.6,11766.5,7084.5,7084.5,7084.5,8462.9,8462.9,344.1,344.1,11766.5,1295.6,1295.6,1295.6,1295.6,6795.9,6795.9,6795.9,6795.9,6623.6,6623.6,6623.6,1797.2,2.8,2.8,2.8,2.8,608.4,608.4,608.4
19,2016-01-20,6915.0,1227.0,1227.0,,,275.5,275.5,275.5,12284.1,6803.0,6803.0,6803.0,8037.0,8037.0,413.7,413.7,12284.1,1312.7,1312.7,1312.7,1312.7,6399.4,6399.4,6399.4,6399.4,6915.0,6915.0,6915.0,2451.6,5.0,5.0,5.0,5.0,539.8,539.8,539.8
20,2016-01-21,6874.1,991.9,991.9,,,249.2,249.2,249.2,12211.5,6948.3,6948.3,6948.3,8328.7,8328.7,274.5,274.5,12211.5,1370.3,1370.3,1370.3,1370.3,6509.3,6509.3,6509.3,6509.3,6874.1,6874.1,6874.1,3237.7,2.6,2.6,2.6,2.6,554.0,554.0,554.0
21,2016-01-22,6293.0,941.4,941.4,,,231.0,231.0,231.0,11179.2,6858.5,6858.5,6858.5,8510.3,8510.3,301.7,301.7,11179.2,1355.1,1355.1,1355.1,1355.1,6574.9,6574.9,6574.9,6574.9,6293.0,6293.0,6293.0,2377.1,2.4,2.4,2.4,2.4,539.8,539.8,539.8
22,2016-01-23,6119.2,940.4,940.4,,,224.0,224.0,224.0,10870.5,6642.5,6642.5,6642.5,8062.3,8062.3,312.8,312.8,10870.5,1213.9,1213.9,1213.9,1213.9,6946.3,6946.3,6946.3,6946.3,6119.2,6119.2,6119.2,1808.0,2.4,2.4,2.4,2.4,544.9,544.9,544.9
23,2016-01-24,6039.7,891.0,891.0,,,321.9,321.9,321.9,10729.2,6802.0,6802.0,6802.0,8278.2,8278.2,321.9,321.9,10729.2,1273.4,1273.4,1273.4,1273.4,7226.8,7226.8,7226.8,7226.8,6039.7,6039.7,6039.7,1735.3,1.5,1.5,1.5,1.5,586.2,586.2,586.2
24,2016-01-25,6252.2,885.9,885.9,,,372.3,372.3,372.3,11106.6,6491.2,6491.2,6491.2,8811.0,8811.0,281.5,281.5,11106.6,1329.9,1329.9,1329.9,1329.9,6655.7,6655.7,6655.7,6655.7,6252.2,6252.2,6252.2,1829.0,,,,,592.3,592.3,592.3
25,2016-01-26,6209.5,1446.0,1446.0,,,295.6,295.6,295.6,11030.9,6650.6,6650.6,6650.6,9090.5,9090.5,239.1,239.1,11030.9,1490.3,1490.3,1490.3,1490.3,6896.8,6896.8,6896.8,6896.8,6209.5,6209.5,6209.5,1939.2,1.1,1.1,1.1,1.1,650.8,650.8,650.8
26,2016-01-27,6160.7,895.0,895.0,,,295.6,295.6,295.6,10944.1,6717.2,6717.2,6717.2,10635.3,10635.3,268.4,268.4,10944.1,1489.3,1489.3,1489.3,1489.3,6669.8,6669.8,6669.8,6669.8,6160.7,6160.7,6160.7,2369.7,3.3,3.3,3.3,3.3,576.1,576.1,576.1
27,2016-01-28,6338.5,898.0,898.0,,,1773.9,1773.9,1773.9,11260.0,7209.6,7209.6,7209.6,9320.5,9320.5,317.8,317.8,11260.0,1828.4,1828.4,1828.4,1828.4,6551.7,6551.7,6551.7,6551.7,6338.5,6338.5,6338.5,2436.8,,,,,710.4,710.4,710.4
28,2016-01-29,5999.9,900.1,900.1,,,6345.9,6345.9,6345.9,10658.6,7440.7,7440.7,7440.7,8742.4,8742.4,250.2,250.2,10658.6,2793.0,2793.0,2793.0,2793.0,6312.6,6312.6,6312.6,6312.6,5999.9,5999.9,5999.9,1917.0,1.1,1.1,1.1,1.1,679.1,679.1,679.1
29,2016-01-30,6355.5,898.0,898.0,,,5115.8,5115.8,5115.8,11290.2,7251.0,7251.0,7251.0,8246.9,8246.9,254.3,254.3,11290.2,1743.6,1743.6,1743.6,1743.6,7250.0,7250.0,7250.0,7250.0,6355.5,6355.5,6355.5,1844.3,2.2,2.2,2.2,2.2,694.2,694.2,694.2
30,2016-01-31,6149.3,1023.1,1023.1,,,2031.2,2031.2,2031.2,10923.9,7183.4,7183.4,7183.4,8476.0,8476.0,389.5,389.5,10923.9,1576.1,1576.1,1576.1,1576.1,7450.8,7450.8,7450.8,7450.8,6149.3,6149.3,6149.3,2144.2,1.5,1.5,1.5,1.5,809.2,809.2,809.2
31,2016-02-01,6431.1,780.0,780.0,,,1290.6,1290.6,1290.6,11424.4,7199.5,7199.5,7199.5,8264.1,8264.1,263.3,263.3,11424.4,1615.5,1615.5,1615.5,1615.5,6244.0,6244.0,6244.0,6244.0,6431.1,6431.1,6431.1,2313.5,4.3,4.3,4.3,4.3,840.5,840.5,840.5
32,2016-02-02,5927.8,757.8,757.8,,,1209.8,1209.8,1209.8,10530.4,6941.2,6941.2,6941.2,8438.6,8438.6,205.8,205.8,10530.4,1856.6,1856.6,1856.6,1856.6,6347.9,6347.9,6347.9,6347.9,5927.8,5927.8,5927.8,2176.6,,,,,1086.7,1086.7,1086.7
33,2016-02-03,6170.3,754.7,754.7,,,799.1,799.1,799.1,10961.3,6516.4,6516.4,6516.4,8226.8,8226.8,212.9,212.9,10961.3,1515.6,1515.6,1515.6,1515.6,6637.5,6637.5,6637.5,6637.5,6170.3,6170.3,6170.3,1911.9,1.3,1.3,1.3,1.3,1094.8,1094.8,1094.8
34,2016-02-04,6308.4,758.8,758.8,,,1399.5,1399.5,1399.5,11206.5,6336.8,6336.8,6336.8,9060.2,9060.2,326.9,326.9,11206.5,1641.7,1641.7,1641.7,1641.7,6995.7,6995.7,6995.7,6995.7,6308.4,6308.4,6308.4,2005.6,2.6,2.6,2.6,2.6,859.7,859.7,859.7
35,2016-02-05,5873.8,746.7,746.7,,,1642.7,1642.7,1642.7,10434.5,6227.8,6227.8,6227.8,8247.9,8247.9,331.0,331.0,10434.5,1892.0,1892.0,1892.0,1892.0,6391.3,6391.3,6391.3,6391.3,5873.8,5873.8,5873.8,2255.6,,,,,916.2,916.2,916.2
36,2016-02-06,6188.5,773.9,773.9,,,935.4,935.4,935.4,10993.6,6835.3,6835.3,6835.3,8217.7,8217.7,382.4,382.4,10993.6,1676.0,1676.0,1676.0,1676.0,7204.6,7204.6,7204.6,7204.6,6188.5,6188.5,6188.5,1881.8,2.2,2.2,2.2,2.2,895.0,895.0,895.0
37,2016-02-07,6354.4,869.8,869.8,,,974.7,974.7,974.7,11288.2,7815.0,7815.0,7815.0,8576.9,8576.9,350.1,350.1,11288.2,1859.6,1859.6,1859.6,1859.6,7366.0,7366.0,7366.0,7366.0,6354.4,6354.4,6354.4,1834.7,1.3,1.3,1.3,1.3,917.2,917.2,917.2
38,2016-02-08,7380.8,950.5,950.5,,,832.5,832.5,832.5,13111.6,9522.4,9522.4,9522.4,9654.5,9654.5,646.8,646.8,13111.6,2313.7,2313.7,2313.7,2313.7,9031.0,9031.0,9031.0,9031.0,7380.8,7380.8,7380.8,2127.2,2.2,2.2,2.2,2.2,1050.4,1050.4,1050.4
39,2016-02-09,6920.1,766.9,766.9,,,1039.3,1039.3,1039.3,12293.2,8064.3,8064.3,8064.3,9385.1,9385.1,494.4,494.4,12293.2,1766.8,1766.8,1766.8,1766.8,8185.4,8185.4,8185.4,8185.4,6920.1,6920.1,6920.1,1965.9,1.7,1.7,1.7,1.7,3202.7,3202.7,3202.7
