구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Audi,49,27,65,39,58,42,25,11,9,13,22,8,368,서울,법인,-,2016
BMW,47,53,90,78,91,58,34,128,43,84,59,125,890,서울,법인,-,2016
Bentley,0,0,0,3,0,0,0,0,0,0,0,0,3,서울,법인,-,2016
Cadillac,2,0,2,0,1,0,2,6,4,2,2,9,30,서울,법인,-,2016
Chrysler,37,11,6,12,9,21,3,10,8,13,5,14,149,서울,법인,-,2016
Citroen,4,0,0,1,3,0,0,12,1,4,2,4,31,서울,법인,-,2016
Fiat,3,0,6,2,2,5,0,2,1,0,2,4,27,서울,법인,-,2016
Ford,29,8,30,24,16,21,23,17,15,9,17,21,230,서울,법인,-,2016
Honda,8,5,7,3,10,12,8,11,5,13,4,7,93,서울,법인,-,2016
Infiniti,8,6,5,2,5,5,5,3,2,7,1,1,50,서울,법인,-,2016
Jaguar,4,7,4,13,12,5,12,30,7,6,12,9,121,서울,법인,-,2016
Lamborghini,0,0,0,2,0,0,0,0,0,0,0,0,2,서울,법인,-,2016
Land Rover,28,27,25,20,12,19,21,18,19,17,10,21,237,서울,법인,-,2016
Lexus,37,22,26,39,28,60,49,24,46,30,31,24,416,서울,법인,-,2016
MINI,9,14,10,19,4,9,3,30,6,8,6,2,120,서울,법인,-,2016
Mercedes-Benz,216,129,156,117,154,163,164,207,201,280,237,183,"2,207",서울,법인,-,2016
Nissan,3,3,5,8,4,1,3,7,7,1,3,6,51,서울,법인,-,2016
Peugeot,19,9,5,2,1,3,2,9,5,9,1,2,67,서울,법인,-,2016
Porsche,11,7,8,11,14,11,8,9,8,3,4,3,97,서울,법인,-,2016
Rolls-Royce,1,0,1,0,0,0,1,2,0,0,0,0,5,서울,법인,-,2016
Toyota,9,6,40,39,15,17,23,18,17,14,16,10,224,서울,법인,-,2016
Volkswagen,34,22,27,12,12,10,14,1,4,0,0,0,136,서울,법인,-,2016
Volvo,17,7,19,13,8,14,9,12,9,9,9,3,129,서울,법인,-,2016
Audi,77,25,83,83,121,267,124,39,35,32,48,30,964,부산,법인,-,2016
BMW,159,179,258,338,272,264,195,219,218,382,347,321,"3,152",부산,법인,-,2016
Bentley,14,3,14,17,11,17,8,0,0,0,0,0,84,부산,법인,-,2016
Cadillac,4,2,6,1,2,1,0,6,5,2,11,7,47,부산,법인,-,2016
Chrysler,21,35,53,32,25,37,31,25,47,37,48,55,446,부산,법인,-,2016
Citroen,5,8,0,9,5,10,10,16,23,12,5,20,123,부산,법인,-,2016
Fiat,2,3,16,4,2,3,2,1,4,6,3,9,55,부산,법인,-,2016
Ford,65,30,41,36,49,62,46,80,50,34,50,72,615,부산,법인,-,2016
Honda,10,12,14,7,13,11,9,9,15,12,5,11,128,부산,법인,-,2016
Infiniti,5,13,8,6,8,13,2,4,5,4,5,3,76,부산,법인,-,2016
Jaguar,1,0,3,3,5,6,149,173,141,72,108,178,839,부산,법인,-,2016
Lamborghini,0,0,2,3,0,1,0,1,0,0,0,6,13,부산,법인,-,2016
Land Rover,42,28,37,29,44,39,288,292,262,197,241,328,"1,827",부산,법인,-,2016
Lexus,11,6,16,11,11,14,18,11,13,15,10,17,153,부산,법인,-,2016
MINI,7,7,9,2,14,5,12,6,22,20,26,14,144,부산,법인,-,2016
Mercedes-Benz,431,332,364,234,234,402,352,426,435,537,525,451,"4,723",부산,법인,-,2016
Nissan,3,3,11,4,2,1,5,3,4,3,4,5,48,부산,법인,-,2016
Peugeot,9,27,51,65,14,46,99,78,107,50,28,44,618,부산,법인,-,2016
Porsche,105,112,101,92,108,145,102,106,89,87,61,32,"1,140",부산,법인,-,2016
Rolls-Royce,1,0,3,0,0,0,1,0,0,1,0,1,7,부산,법인,-,2016
Toyota,9,3,10,12,4,13,10,5,7,7,5,5,90,부산,법인,-,2016
Volkswagen,24,16,15,13,39,39,31,1,5,1,0,0,184,부산,법인,-,2016
Volvo,17,18,16,13,11,17,19,27,22,20,28,16,224,부산,법인,-,2016
Audi,13,13,32,25,21,60,20,8,7,8,12,12,231,대구,법인,-,2016
BMW,86,163,198,303,159,155,219,201,259,169,264,180,"2,356",대구,법인,-,2016
Bentley,0,1,0,0,1,0,0,0,0,0,0,0,2,대구,법인,-,2016
Cadillac,6,3,1,2,1,1,2,7,7,9,10,4,53,대구,법인,-,2016
Chrysler,6,5,13,7,13,15,6,11,9,17,17,9,128,대구,법인,-,2016
Citroen,0,0,0,1,0,0,0,0,0,0,0,0,1,대구,법인,-,2016
Fiat,0,0,2,0,0,0,0,1,0,0,1,2,6,대구,법인,-,2016
Ford,38,10,19,12,21,22,25,18,12,14,15,20,226,대구,법인,-,2016
Honda,2,5,9,1,8,7,6,5,4,6,6,3,62,대구,법인,-,2016
Infiniti,8,5,3,9,5,2,3,4,5,5,2,2,53,대구,법인,-,2016
Jaguar,20,16,79,75,32,115,61,81,87,52,44,123,785,대구,법인,-,2016
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,1,1,대구,법인,-,2016
Land Rover,62,46,231,122,124,220,114,135,158,103,112,163,"1,590",대구,법인,-,2016
Lexus,82,76,118,113,68,130,78,65,104,145,144,145,"1,268",대구,법인,-,2016
MINI,1,2,25,22,22,8,10,11,11,7,20,8,147,대구,법인,-,2016
Mercedes-Benz,324,179,268,318,232,413,362,364,392,469,502,425,"4,248",대구,법인,-,2016
Nissan,2,1,10,4,3,5,2,6,5,4,7,2,51,대구,법인,-,2016
Peugeot,1,2,4,5,1,2,1,0,0,0,1,4,21,대구,법인,-,2016
Porsche,16,12,34,25,25,39,37,34,51,27,23,16,339,대구,법인,-,2016
Toyota,18,23,18,35,24,33,26,25,24,14,15,23,278,대구,법인,-,2016
Volkswagen,8,6,10,7,14,17,4,1,3,4,0,0,74,대구,법인,-,2016
Volvo,5,5,7,1,4,5,8,8,3,8,8,8,70,대구,법인,-,2016
Audi,568,318,682,641,589,513,595,151,143,147,141,64,"4,552",인천,법인,-,2016
BMW,501,608,774,782,781,788,613,669,650,"1,171","1,022","1,046","9,405",인천,법인,-,2016
Bentley,8,3,6,6,7,2,0,0,0,0,0,1,33,인천,법인,-,2016
