구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Audi - Q2 35 TDI,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
BMW - 218d Gran Coupe,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
BMW - 520,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Bentley - Continental GT V8,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Honda - CR-V Hybrid,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,~19,2020
Land Rover - Defender 110 D240,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
MINI - MINI Cooper five-door,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Maserati - Levante,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Mercedes-Benz - E 250,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Mercedes-Benz - E 350 4MATIC,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Porsche - Cayenne Turbo Coupe,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,~19,2020
Volkswagen - Tiguan Allspace 2.0 TDI,2,0,0,0,0,0,0,0,0,0,0,0,2,개인,~19,2020
Audi - A4 40 TDI quattro,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - A4 40 TFSI,4,4,11,8,0,0,0,0,0,0,0,0,27,개인,20~29,2020
Audi - A4 45 TFSI quattro,0,0,1,1,0,0,0,0,0,0,0,0,2,개인,20~29,2020
Audi - A5 Cabriolet 45 TFSI quattro,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - A5 Coupe 45 TFSI quattro,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - A5 Sportback 40 TDI quattro,4,1,1,1,0,0,0,0,0,0,0,0,7,개인,20~29,2020
Audi - A5 Sportback 40 TFSI quattro,0,0,1,1,0,0,0,0,0,0,0,0,2,개인,20~29,2020
Audi - A5 Sportback 45 TFSI quattro,2,3,7,3,0,0,0,0,0,0,0,0,15,개인,20~29,2020
Audi - A6 40 TDI,1,3,1,2,0,0,0,0,0,0,0,0,7,개인,20~29,2020
Audi - A6 40 TDI quattro,1,2,3,3,0,0,0,0,0,0,0,0,9,개인,20~29,2020
